<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,2.99@@2.99,7615616512.0,152064.0,131072.0,✓,✗,(✓),✓,38.56 ± 1.35 / 48.36 ± 1.39@@38.56,68.10 ± 0.77 / 51.37 ± 1.30@@68.10,-0.07 ± 1.31 / 33.39 ± 0.32@@-0.07,65.71 ± 1.25 / 49.51 ± 1.98@@65.71,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.00@@3.00,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,36.05 ± 3.63 / 49.67 ± 2.53@@36.05,71.65 ± 1.36 / 73.65 ± 1.02@@71.65,19.78 ± 6.07 / 58.87 ± 3.62@@19.78,38.14 ± 4.59 / 25.07 ± 4.34@@38.14,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,3.00@@3.00,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,46.50 ± 4.71 / 55.37 ± 5.39@@46.50,43.87 ± 3.14 / 41.50 ± 3.00@@43.87,0.63 ± 1.47 / 42.74 ± 3.80@@0.63,80.35 ± 1.68 / 69.48 ± 1.92@@80.35,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,3.02@@3.02,14167290880.0,152064.0,32768.0,✓,✗,(✓),✓,52.89 ± 0.97 / 63.99 ± 0.82@@52.89,65.21 ± 0.81 / 43.95 ± 0.58@@65.21,21.88 ± 1.09 / 54.64 ± 0.94@@21.88,20.92 ± 0.22 / 0.00 ± 0.00@@20.92,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,3.04@@3.04,10292777472.0,151552.0,65536.0,✓,✗,(✓),✗,69.38 ± 0.40 / 71.60 ± 0.72@@69.38,76.62 ± 0.98 / 54.34 ± 1.76@@76.62,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,7.09 ± 0.40 / 0.00 ± 0.00@@7.09,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,3.08@@3.08,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,29.30 ± 3.91 / 46.11 ± 2.47@@29.30,54.66 ± 7.78 / 57.33 ± 7.13@@54.66,37.22 ± 5.10 / 67.83 ± 2.80@@37.22,42.48 ± 3.51 / 26.54 ± 3.17@@42.48,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-2b'>google/gemma-2b</a>,🧠,3.15@@3.15,2506172416.0,256000.0,8192.0,✓,✗,(✓),✓,59.66 ± 2.63 / 67.25 ± 1.59@@59.66,13.79 ± 4.00 / 13.22 ± 3.63@@13.79,5.36 ± 3.47 / 41.59 ± 5.07@@5.36,76.66 ± 1.37 / 65.67 ± 1.50@@76.66,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.18@@3.18,751632384.0,151936.0,40960.0,✓,✗,✗,✓,48.66 ± 5.01 / 49.24 ± 3.67@@48.66,42.18 ± 2.06 / 35.93 ± 1.92@@42.18,9.09 ± 2.09 / 47.10 ± 3.55@@9.09,52.30 ± 2.59 / 38.78 ± 2.16@@52.30,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,3.18@@3.18,3836021760.0,200064.0,131072.0,✓,✗,(✓),✓,45.14 ± 2.89 / 57.98 ± 2.38@@45.14,69.04 ± 0.59 / 59.21 ± 0.61@@69.04,19.06 ± 3.20 / 56.86 ± 3.76@@19.06,13.66 ± 0.67 / 0.00 ± 0.00@@13.66,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,3.21@@3.21,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,40.83 ± 10.23 / 45.50 ± 8.27@@40.83,47.91 ± 1.40 / 45.15 ± 1.47@@47.91,6.46 ± 1.55 / 44.22 ± 4.73@@6.46,53.78 ± 2.00 / 11.03 ± 6.44@@53.78,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.25@@3.25,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,51.32 ± 3.15 / 57.36 ± 2.14@@51.32,41.60 ± 3.51 / 38.57 ± 3.28@@41.60,-0.62 ± 1.48 / 42.81 ± 3.45@@-0.62,53.21 ± 2.56 / 42.35 ± 2.26@@53.21,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.26@@3.26,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,45.27 ± 2.55 / 58.23 ± 1.69@@45.27,32.67 ± 5.05 / 30.50 ± 4.50@@32.67,0.82 ± 1.42 / 48.68 ± 1.09@@0.82,66.08 ± 1.93 / 53.16 ± 1.83@@66.08,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.27@@3.27,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,49.25 ± 3.26 / 59.78 ± 2.86@@49.25,35.40 ± 2.75 / 33.79 ± 2.66@@35.40,3.24 ± 2.73 / 34.34 ± 0.76@@3.24,55.94 ± 2.26 / 42.40 ± 1.84@@55.94,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.27@@3.27,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,47.59 ± 2.84 / 58.32 ± 2.68@@47.59,41.95 ± 1.34 / 33.97 ± 1.22@@41.95,11.23 ± 1.06 / 54.68 ± 1.06@@11.23,37.54 ± 7.25 / 12.37 ± 6.22@@37.54,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,3.27@@3.27,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,47.82 ± 5.30 / 55.45 ± 3.49@@47.82,29.99 ± 3.04 / 29.62 ± 2.12@@29.99,4.91 ± 1.86 / 46.85 ± 2.89@@4.91,61.31 ± 2.75 / 49.28 ± 2.65@@61.31,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,3.28@@3.28,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,53.65 ± 3.35 / 51.50 ± 2.03@@53.65,34.28 ± 4.38 / 33.11 ± 4.30@@34.28,2.32 ± 1.77 / 48.55 ± 2.60@@2.32,51.18 ± 2.01 / 40.88 ± 1.56@@51.18,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.29@@3.29,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,60.44 ± 1.88 / 66.21 ± 1.03@@60.44,45.07 ± 3.08 / 40.10 ± 2.27@@45.07,15.65 ± 2.49 / 56.42 ± 1.39@@15.65,14.61 ± 0.45 / 0.04 ± 0.03@@14.61,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.31@@3.31,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,50.67 ± 4.35 / 57.05 ± 2.01@@50.67,22.51 ± 6.85 / 22.59 ± 5.60@@22.51,1.86 ± 2.25 / 47.14 ± 2.47@@1.86,66.16 ± 1.05 / 53.60 ± 1.22@@66.16,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,3.34@@3.34,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,43.47 ± 2.86 / 55.02 ± 1.77@@43.47,35.57 ± 4.25 / 35.15 ± 3.16@@35.57,-0.44 ± 0.57 / 33.29 ± 0.27@@-0.44,65.63 ± 1.12 / 53.23 ± 1.02@@65.63,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.34@@3.34,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,56.50 ± 1.94 / 62.93 ± 1.66@@56.50,45.78 ± 0.97 / 38.79 ± 1.30@@45.78,17.36 ± 1.57 / 57.44 ± 1.71@@17.36,15.24 ± 1.01 / 0.00 ± 0.00@@15.24,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HPLT/hplt2c_eng_checkpoints'>HPLT/hplt2c_eng_checkpoints</a>,🧠,3.34@@3.34,?,262272.0,2048.0,✓,✗,(✓),✗,60.92 ± 3.80 / 55.15 ± 2.37@@60.92,21.79 ± 8.54 / 22.33 ± 7.65@@21.79,3.25 ± 1.35 / 46.12 ± 3.30@@3.25,49.94 ± 2.30 / 38.53 ± 1.89@@49.94,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,3.37@@3.37,7452725248.0,250680.0,4096.0,✓,✗,(✓),✗,24.29 ± 3.50 / 26.74 ± 3.81@@24.29,43.55 ± 3.34 / 36.02 ± 2.39@@43.55,7.23 ± 2.96 / 48.70 ± 2.93@@7.23,71.41 ± 1.28 / 56.97 ± 1.53@@71.41,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,3.37@@3.37,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,39.00 ± 8.94 / 54.19 ± 7.15@@39.00,48.50 ± 5.48 / 44.29 ± 4.75@@48.50,9.09 ± 2.58 / 47.63 ± 2.51@@9.09,35.45 ± 2.70 / 0.00 ± 0.00@@35.45,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.38@@3.38,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,25.68 ± 2.20 / 48.17 ± 1.52@@25.68,42.55 ± 1.93 / 39.65 ± 1.57@@42.55,5.25 ± 2.40 / 51.59 ± 1.22@@5.25,67.29 ± 1.04 / 54.16 ± 1.41@@67.29,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,3.38@@3.38,1777088000.0,151936.0,131072.0,✓,✗,(✓),✓,35.24 ± 3.18 / 51.94 ± 1.80@@35.24,43.57 ± 1.17 / 37.59 ± 1.28@@43.57,11.71 ± 1.92 / 55.30 ± 1.05@@11.71,49.48 ± 2.46 / 31.36 ± 3.26@@49.48,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-2b-it'>google/gemma-2b-it</a>,📝,3.45@@3.45,2506172416.0,256000.0,8192.0,✗,✗,(✓),✓,41.81 ± 3.61 / 53.92 ± 2.59@@41.81,37.76 ± 3.22 / 32.11 ± 2.12@@37.76,2.70 ± 0.86 / 49.25 ± 1.73@@2.70,48.29 ± 3.89 / 27.65 ± 4.64@@48.29,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.46@@3.46,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,52.02 ± 2.92 / 59.08 ± 2.23@@52.02,50.09 ± 1.52 / 47.02 ± 1.98@@50.09,4.34 ± 2.13 / 40.59 ± 3.22@@4.34,17.78 ± 0.62 / 0.03 ± 0.05@@17.78,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,3.50@@3.50,93990500.0,65636.0,512.0,✓,✗,(✓),✓,14.53 ± 2.20 / 36.66 ± 1.70@@14.53,68.40 ± 1.14 / 68.46 ± 1.06@@68.40,8.15 ± 3.27 / 53.38 ± 2.02@@8.15,36.12 ± 1.13 / 24.52 ± 1.06@@36.12,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.57@@3.57,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,47.28 ± 1.81 / 59.38 ± 1.91@@47.28,48.95 ± 1.12 / 43.53 ± 0.88@@48.95,2.54 ± 1.31 / 36.67 ± 2.70@@2.54,19.79 ± 1.37 / 4.55 ± 1.25@@19.79,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.57@@3.57,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,52.85 ± 5.13 / 50.56 ± 3.11@@52.85,26.28 ± 5.69 / 26.75 ± 4.77@@26.28,0.53 ± 1.38 / 44.68 ± 2.97@@0.53,40.36 ± 1.79 / 29.66 ± 1.35@@40.36,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,3.58@@3.58,2061162016.0,128000.0,?,✓,✗,(✓),✓,53.73 ± 1.69 / 58.12 ± 2.65@@53.73,32.54 ± 5.10 / 31.65 ± 3.72@@32.54,2.32 ± 1.20 / 47.25 ± 3.18@@2.32,23.65 ± 0.84 / 0.00 ± 0.00@@23.65,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.62@@3.62,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,38.82 ± 4.37 / 46.43 ± 6.12@@38.82,63.25 ± 3.22 / 51.61 ± 3.11@@63.25,2.18 ± 1.65 / 33.63 ± 0.39@@2.18,2.15 ± 0.57 / 0.09 ± 0.17@@2.15,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,3.65@@3.65,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,39.89 ± 8.65 / 42.39 ± 6.07@@39.89,31.41 ± 2.60 / 30.40 ± 2.39@@31.41,0.46 ± 1.79 / 41.96 ± 2.91@@0.46,38.83 ± 2.17 / 27.56 ± 2.05@@38.83,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,3.71@@3.71,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,37.97 ± 4.61 / 42.35 ± 3.70@@37.97,24.44 ± 2.14 / 26.19 ± 1.42@@24.44,0.73 ± 2.34 / 39.26 ± 3.80@@0.73,46.88 ± 1.98 / 35.48 ± 1.55@@46.88,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.75@@3.75,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,22.59 ± 2.86 / 44.48 ± 1.33@@22.59,24.74 ± 1.56 / 23.68 ± 1.28@@24.74,0.75 ± 2.62 / 48.39 ± 1.64@@0.75,63.17 ± 2.02 / 49.56 ± 2.75@@63.17,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,3.80@@3.80,811778816.0,50257.0,1024.0,✓,✗,(✓),✗,30.68 ± 6.87 / 37.09 ± 7.13@@30.68,24.99 ± 2.26 / 30.95 ± 1.84@@24.99,-0.70 ± 1.74 / 38.24 ± 2.48@@-0.70,45.93 ± 1.22 / 34.05 ± 1.16@@45.93,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.84@@3.84,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,17.22 ± 9.20 / 29.07 ± 6.19@@17.22,18.89 ± 5.65 / 20.43 ± 3.84@@18.89,-0.01 ± 1.44 / 33.56 ± 0.38@@-0.01,65.70 ± 1.62 / 51.22 ± 1.84@@65.70,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.86@@3.86,?,103424.0,131072.0,✓,✗,(✓),✗,22.04 ± 5.31 / 31.67 ± 5.67@@22.04,35.01 ± 2.47 / 33.34 ± 2.25@@35.01,0.83 ± 2.08 / 39.97 ± 4.35@@0.83,42.46 ± 8.50 / 31.59 ± 7.56@@42.46,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,3.91@@3.91,68977172480.0,32032.0,8192.0,✗,✗,(✓),✗,17.96 ± 9.09 / 27.85 ± 6.24@@17.96,73.76 ± 1.33 / 67.74 ± 1.18@@73.76,-0.63 ± 1.29 / 33.81 ± 0.68@@-0.63,0.01 ± 0.00 / 0.00 ± 0.00@@0.01,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.95@@3.95,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,27.86 ± 3.81 / 38.85 ± 3.60@@27.86,33.80 ± 2.18 / 30.29 ± 1.89@@33.80,3.40 ± 1.27 / 46.82 ± 2.33@@3.40,21.66 ± 3.37 / 2.93 ± 1.64@@21.66,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.01@@4.01,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,14.71 ± 5.23 / 35.02 ± 4.77@@14.71,54.24 ± 2.02 / 47.07 ± 2.23@@54.24,4.98 ± 2.53 / 48.48 ± 3.37@@4.98,9.00 ± 1.16 / 0.00 ± 0.00@@9.00,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,4.01@@4.01,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,14.65 ± 5.08 / 23.02 ± 5.86@@14.65,27.27 ± 2.99 / 28.24 ± 2.33@@27.27,2.66 ± 1.36 / 44.31 ± 3.69@@2.66,45.31 ± 1.66 / 34.32 ± 1.21@@45.31,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.09@@4.09,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,15.47 ± 8.91 / 28.53 ± 8.41@@15.47,31.63 ± 3.32 / 31.71 ± 2.50@@31.63,1.21 ± 2.06 / 41.31 ± 3.70@@1.21,31.06 ± 2.42 / 21.28 ± 2.63@@31.06,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,4.14@@4.14,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,11.09 ± 1.98 / 36.05 ± 1.57@@11.09,38.54 ± 3.64 / 34.49 ± 3.13@@38.54,17.30 ± 2.78 / 58.05 ± 1.36@@17.30,11.58 ± 0.52 / 1.73 ± 0.31@@11.58,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,4.16@@4.16,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,24.76 ± 6.44 / 35.49 ± 4.36@@24.76,35.60 ± 2.23 / 34.03 ± 1.99@@35.60,2.51 ± 1.84 / 44.62 ± 3.81@@2.51,4.98 ± 1.01 / 0.69 ± 0.56@@4.98,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.17@@4.17,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,6.79 ± 1.21 / 20.70 ± 0.42@@6.79,27.22 ± 1.49 / 26.70 ± 1.42@@27.22,1.98 ± 1.02 / 44.49 ± 3.95@@1.98,47.55 ± 0.97 / 32.65 ± 1.41@@47.55,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,4.21@@4.21,379988992.0,50257.0,1024.0,✓,✗,(✓),✗,6.77 ± 4.64 / 23.10 ± 5.24@@6.77,31.05 ± 3.76 / 32.12 ± 3.21@@31.05,-0.54 ± 2.16 / 43.36 ± 3.16@@-0.54,38.64 ± 1.16 / 26.95 ± 0.95@@38.64,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/HPLT/hplt2c_nld_checkpoints'>HPLT/hplt2c_nld_checkpoints</a>,🧠,4.26@@4.26,?,262272.0,2048.0,✓,✗,(✓),✗,20.85 ± 6.67 / 30.49 ± 4.98@@20.85,16.98 ± 6.81 / 15.74 ± 6.18@@16.98,1.11 ± 1.41 / 41.20 ± 4.65@@1.11,26.55 ± 2.49 / 16.30 ± 1.61@@26.55,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_deu_checkpoints'>HPLT/hplt2c_deu_checkpoints</a>,🧠,4.29@@4.29,?,262272.0,2048.0,✓,✗,(✓),✗,21.22 ± 4.45 / 34.06 ± 4.84@@21.22,11.65 ± 6.74 / 10.74 ± 6.33@@11.65,-0.08 ± 0.83 / 44.18 ± 3.18@@-0.08,23.88 ± 1.40 / 13.54 ± 1.72@@23.88,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.35@@4.35,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,26.89 ± 10.61 / 35.21 ± 7.69@@26.89,17.54 ± 6.09 / 18.20 ± 5.48@@17.54,0.47 ± 0.87 / 41.23 ± 4.41@@0.47,11.00 ± 0.47 / 0.00 ± 0.00@@11.00,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.40@@4.40,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,18.45 ± 5.50 / 32.79 ± 4.74@@18.45,24.66 ± 3.61 / 24.83 ± 3.10@@24.66,2.17 ± 2.04 / 42.68 ± 3.05@@2.17,9.14 ± 0.46 / 0.02 ± 0.02@@9.14,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
