<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,-@@100,N/A,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,61.14 ± 0.94 / 61.13 ± 0.90@@61.14,68.93 ± 2.31 / 64.80 ± 1.29@@68.93,19.91 ± 1.82 / 58.96 ± 1.42@@19.91,85.84 ± 1.45 / 76.55 ± 2.19@@85.84,-@@-1,27.97 ± 2.69 / 46.19 ± 2.06@@27.97,7.98 ± 1.02 / 29.89 ± 0.71@@7.98,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,-@@0,15.10.1.dev0@@151001,15.8.1.dev0@@150801
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,-@@100,?,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,58.22 ± 1.69 / 62.14 ± 1.31@@58.22,67.17 ± 2.17 / 61.59 ± 1.73@@67.17,17.79 ± 1.56 / 54.21 ± 3.21@@17.79,59.46 ± 8.38 / 42.98 ± 10.15@@59.46,-@@-1,25.67 ± 1.74 / 45.41 ± 1.46@@25.67,12.06 ± 1.18 / 33.08 ± 0.95@@12.06,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.10.1.dev0@@151001,15.9.2.dev0@@150902
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base</a>,🧠,-@@100,N/A,1384956928.0,49152.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-0.54 ± 1.88 / 25.35 ± 2.45@@-0.54,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct</a>,📝,-@@100,?,1334628352.0,49155.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.32 ± 1.65 / 34.80 ± 1.21@@12.32,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-2b-base'>ibm-granite/granite-3.0-2b-base</a>,🧠,-@@100,N/A,2533525504.0,49152.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,49.21 ± 2.25 / 61.00 ± 2.04@@49.21,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct</a>,📝,-@@100,?,2634201088.0,49155.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,61.36 ± 1.62 / 71.33 ± 1.21@@61.36,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base</a>,🧠,-@@100,N/A,3374286336.0,49152.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,25.63 ± 1.67 / 42.75 ± 1.73@@25.63,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct</a>,📝,-@@100,?,3374295552.0,49155.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,43.82 ± 2.46 / 55.82 ± 1.90@@43.82,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base</a>,🧠,-@@100,N/A,8170835968.0,49152.0,4096.0,✓,✗,(✓),✗,66.89 ± 1.11 / 69.52 ± 0.94@@66.89,52.34 ± 1.91 / 50.21 ± 1.17@@52.34,36.60 ± 2.37 / 67.85 ± 1.19@@36.60,-@@-1,-@@-1,71.49 ± 1.96 / 78.93 ± 1.45@@71.49,-@@-1,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct</a>,📝,-@@100,?,8170848256.0,49155.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,73.85 ± 1.60 / 80.64 ± 1.22@@73.85,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,-@@100,N/A,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,63.99 ± 0.53 / 57.90 ± 0.61@@63.99,69.47 ± 2.42 / 67.26 ± 1.86@@69.47,22.17 ± 2.72 / 56.24 ± 3.34@@22.17,86.96 ± 1.44 / 78.45 ± 1.96@@86.96,-@@-1,34.67 ± 1.43 / 50.53 ± 1.18@@34.67,14.41 ± 1.44 / 34.92 ± 1.02@@14.41,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,-@@0,15.10.1.dev0@@151001,15.8.1.dev0@@150801
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,-@@100,?,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,62.49 ± 0.79 / 57.27 ± 0.59@@62.49,69.43 ± 3.11 / 66.60 ± 2.12@@69.43,24.28 ± 2.40 / 59.34 ± 1.96@@24.28,84.50 ± 0.95 / 74.08 ± 1.29@@84.50,-@@-1,36.29 ± 1.97 / 51.52 ± 1.73@@36.29,16.24 ± 1.41 / 34.13 ± 1.00@@16.24,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,-@@0,15.10.1.dev0@@151001,15.8.2.dev0@@150802
<a href='https://hf.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k</a>,📝,-@@100,?,3482503680.0,49152.0,2048.0,✓,✗,(✓),✗,-@@-1,-@@-1,12.15 ± 1.13 / 54.37 ± 1.83@@12.15,78.94 ± 0.89 / 67.39 ± 1.02@@78.94,-@@-1,13.57 ± 1.41 / 35.47 ± 1.66@@13.57,6.17 ± 0.99 / 28.52 ± 0.69@@6.17,-@@0,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,-@@100,?,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,66.79 ± 1.24 / 72.37 ± 0.70@@66.79,77.02 ± 2.10 / 73.21 ± 1.48@@77.02,51.08 ± 2.80 / 75.06 ± 1.47@@51.08,88.59 ± 1.07 / 77.22 ± 2.01@@88.59,-@@-1,93.82 ± 0.57 / 95.49 ± 0.42@@93.82,85.95 ± 0.78 / 89.42 ± 0.60@@85.95,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,68.96 ± 2.19 / 76.27 ± 1.93@@68.96,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,-@@100,0.82,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,69.16 ± 1.42 / 71.13 ± 1.21@@69.16,74.32 ± 1.14 / 66.91 ± 1.15@@74.32,54.25 ± 1.71 / 76.29 ± 1.13@@54.25,21.80 ± 1.15 / 0.00 ± 0.00@@21.80,-@@-1,76.63 ± 1.53 / 82.66 ± 1.13@@76.63,70.19 ± 2.43 / 77.43 ± 1.95@@70.19,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,-@@100,12.31,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,65.28 ± 1.12 / 71.00 ± 0.89@@65.28,68.94 ± 1.27 / 54.41 ± 1.53@@68.94,44.18 ± 1.51 / 70.50 ± 1.39@@44.18,82.80 ± 0.93 / 68.81 ± 1.41@@82.80,-@@-1,73.42 ± 1.11 / 80.49 ± 0.85@@73.42,63.74 ± 1.33 / 72.19 ± 1.18@@63.74,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,-@@100,N/A,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,54.17 ± 4.95 / 61.70 ± 4.86@@54.17,66.44 ± 2.12 / 60.03 ± 1.63@@66.44,28.81 ± 4.81 / 53.16 ± 5.49@@28.81,84.84 ± 1.71 / 72.56 ± 2.94@@84.84,-@@-1,65.54 ± 2.71 / 73.61 ± 2.45@@65.54,20.42 ± 3.07 / 34.60 ± 3.18@@20.42,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b</a>,🧠,-@@100,N/A,1644515328.0,100352.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,40.83 ± 1.74 / 54.30 ± 1.44@@40.83,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b</a>,📝,-@@100,?,2795443200.0,50304.0,2048.0,✗,✗,(✓),✗,26.34 ± 1.02 / 48.83 ± 0.64@@26.34,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,-@@100,N/A,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,67.43 ± 0.52 / 59.09 ± 0.99@@67.43,64.66 ± 1.98 / 60.73 ± 1.78@@64.66,17.63 ± 3.92 / 41.64 ± 3.38@@17.63,83.96 ± 1.43 / 71.55 ± 1.98@@83.96,-@@-1,80.71 ± 1.39 / 85.31 ± 1.07@@80.71,47.79 ± 1.04 / 59.91 ± 1.03@@47.79,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,-@@100,N/A,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,69.20 ± 0.59 / 58.45 ± 0.25@@69.20,60.73 ± 2.19 / 54.24 ± 1.80@@60.73,49.52 ± 2.54 / 74.09 ± 1.49@@49.52,86.89 ± 1.33 / 76.40 ± 2.03@@86.89,-@@-1,76.72 ± 1.56 / 83.03 ± 1.12@@76.72,73.12 ± 0.87 / 79.41 ± 0.68@@73.12,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,-@@0,15.10.1.dev0@@151001,15.8.2.dev0@@150802
<a href='https://hf.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual</a>,📝,-@@100,?,5465415680.0,65024.0,8192.0,✓,✓,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-1.33 ± 2.05 / 29.63 ± 2.47@@-1.33,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,-@@100,N/A,394781696.0,50368.0,8192.0,✓,✗,(✓),✗,30.92 ± 5.21 / 45.76 ± 3.89@@30.92,61.80 ± 3.52 / 64.72 ± 3.38@@61.80,30.95 ± 4.78 / 64.29 ± 2.47@@30.95,66.48 ± 2.86 / 51.37 ± 3.12@@66.48,-@@-1,-@@-1,-@@-1,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,15.12.0.dev0@@151200,-@@0,-@@0,-@@0
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,59.33 ± 2.21 / 68.30 ± 2.04@@59.33,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B-instruct'>AI-Sweden-Models/Llama-3-8B-instruct</a>,📝,-@@100,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,69.57 ± 1.16 / 77.52 ± 0.90@@69.57,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,-@@100,?,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,68.54 ± 1.10 / 72.91 ± 0.58@@68.54,71.78 ± 1.40 / 59.29 ± 2.63@@71.78,45.80 ± 3.08 / 72.58 ± 1.38@@45.80,72.99 ± 1.48 / 50.49 ± 2.62@@72.99,-@@-1,76.66 ± 3.63 / 82.62 ± 2.72@@76.66,69.71 ± 2.62 / 77.06 ± 2.13@@69.71,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.10.1.dev0@@151001,15.3.1@@150301
<a href='https://hf.co/01-ai/Yi-6B'>01-ai/Yi-6B</a>,🧠,-@@100,N/A,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-@@-1,52.70 ± 2.29 / 48.83 ± 2.24@@52.70,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-@@100,78.29,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,78.29 ± 0.81 / 83.83 ± 0.58@@78.29,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,-@@100,0.21,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,68.47 ± 0.86 / 72.28 ± 0.74@@68.47,70.84 ± 1.66 / 60.22 ± 1.90@@70.84,55.71 ± 1.38 / 77.44 ± 0.69@@55.71,21.52 ± 1.07 / 0.05 ± 0.06@@21.52,-@@-1,72.93 ± 1.20 / 80.16 ± 0.87@@72.93,68.51 ± 1.72 / 76.17 ± 1.34@@68.51,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,-@@100,N/A,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,68.41 ± 0.35 / 58.23 ± 0.15@@68.41,43.69 ± 4.58 / 39.77 ± 3.66@@43.69,26.10 ± 1.90 / 61.99 ± 0.69@@26.10,74.93 ± 0.35 / 50.35 ± 0.86@@74.93,-@@-1,73.74 ± 1.43 / 80.33 ± 1.14@@73.74,26.31 ± 1.49 / 42.45 ± 1.21@@26.31,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,-@@100,?,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,64.69 ± 1.01 / 70.01 ± 0.53@@64.69,55.11 ± 2.53 / 44.55 ± 1.81@@55.11,34.90 ± 2.21 / 66.86 ± 1.18@@34.90,80.71 ± 0.42 / 62.06 ± 0.99@@80.71,-@@-1,73.70 ± 1.56 / 80.35 ± 1.19@@73.70,46.20 ± 1.54 / 58.07 ± 1.41@@46.20,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct</a>,🤔,-@@100,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,54.90 ± 1.01 / 63.41 ± 0.78@@54.90,73.82 ± 0.96 / 63.18 ± 1.21@@73.82,35.93 ± 1.71 / 66.32 ± 0.98@@35.93,53.50 ± 0.34 / 0.00 ± 0.00@@53.50,-@@-1,0.00 ± 0.00 / 27.79 ± 0.87@@0.00,0.00 ± 0.00 / 24.98 ± 0.50@@0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,-@@100,?,2061162016.0,128000.0,?,✓,✗,(✓),✓,53.73 ± 1.69 / 58.12 ± 2.65@@53.73,32.54 ± 5.10 / 31.65 ± 3.72@@32.54,2.32 ± 1.20 / 47.25 ± 3.18@@2.32,23.65 ± 0.84 / 0.00 ± 0.00@@23.65,-@@-1,3.11 ± 1.64 / 27.68 ± 1.56@@3.11,0.64 ± 1.27 / 25.12 ± 0.70@@0.64,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.10.1.dev0@@151001,15.9.2@@150902
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,-@@100,?,?,?,131072.0,✓,✗,✗,✓,66.50 ± 2.13 / 72.16 ± 1.68@@66.50,72.27 ± 1.65 / 61.60 ± 1.72@@72.27,46.73 ± 2.52 / 68.21 ± 1.41@@46.73,80.24 ± 0.72 / 58.56 ± 1.34@@80.24,-@@-1,92.83 ± 1.11 / 94.69 ± 0.82@@92.83,83.52 ± 0.92 / 87.15 ± 0.74@@83.52,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.10.1.dev0@@151001,15.5.0.dev0@@150500
"xai/grok-3-beta (zero-shot, val)</a>",📝,-@@100,?,?,?,131072.0,✓,✗,✗,✓,68.35 ± 2.39 / 71.76 ± 1.80@@68.35,78.27 ± 1.87 / 65.36 ± 1.93@@78.27,43.32 ± 3.87 / 71.19 ± 1.98@@43.32,79.20 ± 0.83 / 53.58 ± 1.43@@79.20,-@@-1,-@@-1,82.06 ± 1.90 / 86.17 ± 1.52@@82.06,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,-@@0,15.6.1.dev0@@150601
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,-@@100,?,?,?,131072.0,✓,✗,✗,✓,66.08 ± 2.47 / 68.37 ± 2.39@@66.08,71.34 ± 1.16 / 52.94 ± 0.88@@71.34,46.56 ± 5.12 / 70.83 ± 2.74@@46.56,82.99 ± 1.06 / 65.72 ± 1.71@@82.99,-@@-1,-@@-1,74.41 ± 2.12 / 80.62 ± 1.64@@74.41,15.7.0.dev0@@150700,15.7.1.dev0@@150701,15.7.0.dev0@@150700,15.7.1.dev0@@150701,-@@0,-@@0,15.7.1.dev0@@150701
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-@@100,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,67.03 ± 1.56 / 73.01 ± 0.95@@67.03,77.12 ± 1.32 / 75.17 ± 1.10@@77.12,52.14 ± 1.97 / 73.32 ± 1.74@@52.14,34.44 ± 1.32 / 0.00 ± 0.00@@34.44,-@@-1,92.31 ± 0.77 / 94.32 ± 0.58@@92.31,78.47 ± 0.89 / 83.53 ± 0.69@@78.47,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B</a>,🧠,-@@100,N/A,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,69.09 ± 1.55 / 77.36 ± 1.16@@69.09,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,-@@100,0.1,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,45.09 ± 0.21 / 48.09 ± 0.33@@45.09,63.86 ± 1.67 / 72.79 ± 1.37@@63.86,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-@@100,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,64.88 ± 0.91 / 69.28 ± 0.78@@64.88,60.66 ± 2.30 / 55.68 ± 2.04@@60.66,39.36 ± 2.21 / 68.76 ± 1.15@@39.36,85.78 ± 1.33 / 75.57 ± 1.94@@85.78,-@@-1,78.00 ± 1.57 / 83.61 ± 1.19@@78.00,40.48 ± 1.48 / 54.01 ± 1.21@@40.48,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-@@100,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,54.44 ± 0.64 / 62.10 ± 0.70@@54.44,70.21 ± 1.35 / 60.16 ± 1.68@@70.21,39.94 ± 2.52 / 69.15 ± 1.39@@39.94,52.43 ± 0.34 / 0.00 ± 0.00@@52.43,-@@-1,0.00 ± 0.00 / 27.79 ± 0.87@@0.00,0.00 ± 0.00 / 24.98 ± 0.50@@0.00,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,-@@0,16.13.0.dev0@@161300,16.13.0.dev0@@161300
<a href='https://hf.co/tiiuae/falcon-11B'>tiiuae/falcon-11B</a>,📝,-@@100,?,11102822400.0,65024.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,65.21 ± 1.53 / 73.73 ± 1.29@@65.21,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/timpal0l/Llama-3-8B-flashback-v1'>timpal0l/Llama-3-8B-flashback-v1</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,70.60 ± 2.39 / 78.07 ± 1.98@@70.60,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2</a>,📝,-@@100,?,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,24.00 ± 4.04 / 36.68 ± 3.82@@24.00,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-@@100,N/A,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,77.59 ± 1.04 / 83.40 ± 0.77@@77.59,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,-@@100,?,1656850432.0,128000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,5.37 ± 1.73 / 29.82 ± 1.14@@5.37,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.10.1.dev0@@151001,-@@0
