<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,3.38@@3.38,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,11.61 ± 4.50 / 34.53 ± 3.75@@11.61,57.38 ± 1.73 / 61.07 ± 1.80@@57.38,53.44 ± 3.23 / 57.64 ± 2.69@@53.44,0.26 ± 1.16 / 46.09 ± 2.18@@0.26,0.70 ± 1.65 / 48.21 ± 1.95@@0.70,32.73 ± 1.34 / 15.72 ± 1.21@@32.73,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.39@@3.39,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,12.84 ± 1.86 / 34.26 ± 1.53@@12.84,55.17 ± 1.95 / 58.68 ± 2.05@@55.17,54.67 ± 1.91 / 58.34 ± 1.33@@54.67,0.06 ± 1.56 / 47.32 ± 2.18@@0.06,1.15 ± 1.78 / 48.11 ± 2.10@@1.15,33.31 ± 0.88 / 15.46 ± 0.96@@33.31,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.39@@3.39,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,15.85 ± 2.06 / 36.56 ± 1.56@@15.85,42.90 ± 1.39 / 39.23 ± 1.30@@42.90,45.27 ± 2.49 / 42.13 ± 2.19@@45.27,8.71 ± 2.60 / 48.22 ± 1.28@@8.71,11.03 ± 1.27 / 46.57 ± 0.68@@11.03,28.53 ± 1.48 / 12.55 ± 1.16@@28.53,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,3.39@@3.39,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,11.43 ± 4.06 / 25.49 ± 1.90@@11.43,62.58 ± 1.19 / 41.71 ± 3.45@@62.58,62.15 ± 1.01 / 43.51 ± 4.42@@62.15,28.46 ± 1.52 / 60.76 ± 2.06@@28.46,14.45 ± 1.66 / 52.63 ± 3.25@@14.45,1.51 ± 0.05 / 0.00 ± 0.00@@1.51,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,3.40@@3.40,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,11.81 ± 3.50 / 35.50 ± 3.15@@11.81,41.04 ± 11.47 / 42.41 ± 12.52@@41.04,49.68 ± 5.78 / 52.22 ± 6.11@@49.68,0.26 ± 1.51 / 38.78 ± 4.31@@0.26,0.94 ± 1.18 / 43.49 ± 4.33@@0.94,39.92 ± 1.97 / 22.18 ± 1.92@@39.92,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/KBLab/sentence-bert-swedish-cased'>KBLab/sentence-bert-swedish-cased</a>,🔍,3.40@@3.40,124691456.0,50325.0,512.0,✓,✗,(✓),✗,22.52 ± 6.56 / 37.04 ± 4.79@@22.52,74.25 ± 1.53 / 76.08 ± 1.36@@74.25,71.00 ± 1.02 / 73.25 ± 0.95@@71.00,0.90 ± 1.22 / 44.37 ± 4.23@@0.90,0.05 ± 1.53 / 41.48 ± 3.87@@0.05,0.03 ± 0.02 / 0.01 ± 0.02@@0.03,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.42@@3.42,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,32.26 ± 3.75 / 51.86 ± 4.89@@32.26,41.65 ± 1.94 / 37.29 ± 3.14@@41.65,38.22 ± 1.89 / 35.72 ± 2.27@@38.22,9.88 ± 1.14 / 52.54 ± 1.67@@9.88,6.83 ± 1.51 / 51.66 ± 2.00@@6.83,14.72 ± 1.95 / 0.01 ± 0.02@@14.72,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/TurkuNLP/finnish-modernbert-base'>TurkuNLP/finnish-modernbert-base</a>,🔍,3.43@@3.43,143404800.0,42240.0,16000.0,✓,✗,(✓),✗,17.92 ± 2.90 / 37.23 ± 2.58@@17.92,51.12 ± 4.60 / 55.17 ± 4.52@@51.12,51.82 ± 2.09 / 55.28 ± 1.93@@51.82,6.39 ± 2.43 / 50.31 ± 2.82@@6.39,1.97 ± 2.38 / 46.09 ± 2.84@@1.97,23.04 ± 3.76 / 9.44 ± 2.09@@23.04,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,3.44@@3.44,22007401.0,96105.0,128.0,✓,✗,(✓),✗,17.31 ± 7.65 / 34.54 ± 5.95@@17.31,74.05 ± 2.41 / 75.86 ± 1.91@@74.05,66.56 ± 2.83 / 69.14 ± 2.42@@66.56,7.10 ± 7.50 / 47.13 ± 6.88@@7.10,0.84 ± 1.90 / 38.66 ± 4.67@@0.84,0.25 ± 0.48 / 0.17 ± 0.34@@0.25,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/google/gemma-7b-it'>google/gemma-7b-it</a>,📝,3.50@@3.50,8537680896.0,256000.0,8192.0,✗,✗,(✓),✓,12.78 ± 4.44 / 29.97 ± 5.78@@12.78,48.31 ± 3.06 / 44.83 ± 2.23@@48.31,42.95 ± 2.10 / 39.68 ± 1.94@@42.95,5.15 ± 2.52 / 41.21 ± 4.34@@5.15,5.71 ± 2.74 / 42.53 ± 2.81@@5.71,24.63 ± 0.85 / 1.35 ± 0.43@@24.63,15.5.0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,3.50@@3.50,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,13.77 ± 3.46 / 35.42 ± 2.90@@13.77,43.19 ± 4.67 / 45.80 ± 4.98@@43.19,45.46 ± 4.99 / 47.71 ± 5.28@@45.46,1.30 ± 1.24 / 48.16 ± 3.34@@1.30,0.99 ± 2.07 / 44.94 ± 3.80@@0.99,31.47 ± 2.32 / 15.97 ± 1.79@@31.47,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,3.51@@3.51,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,0.10 ± 0.83 / 18.12 ± 0.91@@0.10,37.77 ± 3.40 / 32.34 ± 2.76@@37.77,32.75 ± 3.27 / 29.64 ± 2.82@@32.75,0.00 ± 0.00 / 33.36 ± 0.21@@0.00,0.00 ± 0.00 / 33.69 ± 0.24@@0.00,60.44 ± 3.67 / 38.66 ± 3.64@@60.44,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.52@@3.52,751632384.0,151936.0,40960.0,✓,✗,✗,✓,15.80 ± 3.71 / 31.68 ± 4.53@@15.80,35.50 ± 1.98 / 25.53 ± 2.44@@35.50,35.85 ± 1.16 / 26.67 ± 2.18@@35.85,2.35 ± 2.10 / 39.59 ± 2.95@@2.35,0.89 ± 0.81 / 38.75 ± 2.89@@0.89,34.92 ± 2.33 / 14.09 ± 1.07@@34.92,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.57@@3.57,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,19.00 ± 1.80 / 44.61 ± 1.92@@19.00,30.35 ± 2.61 / 28.71 ± 2.12@@30.35,30.77 ± 3.76 / 28.95 ± 3.34@@30.77,-0.56 ± 1.67 / 42.80 ± 3.76@@-0.56,0.58 ± 1.64 / 45.61 ± 2.95@@0.58,31.10 ± 4.93 / 17.60 ± 2.43@@31.10,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.58@@3.58,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,20.09 ± 6.23 / 39.77 ± 6.24@@20.09,36.31 ± 2.33 / 35.37 ± 3.37@@36.31,38.11 ± 2.46 / 37.40 ± 2.68@@38.11,0.03 ± 0.60 / 33.37 ± 0.27@@0.03,0.25 ± 1.04 / 33.35 ± 0.27@@0.25,23.07 ± 3.70 / 12.99 ± 1.98@@23.07,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/TurkuNLP/finnish-modernbert-tiny'>TurkuNLP/finnish-modernbert-tiny</a>,🔍,3.58@@3.58,51647616.0,27264.0,16000.0,✓,✗,(✓),✗,16.84 ± 3.03 / 36.96 ± 3.19@@16.84,53.86 ± 1.11 / 56.66 ± 0.91@@53.86,55.29 ± 1.55 / 57.72 ± 1.48@@55.29,1.69 ± 1.25 / 47.96 ± 2.50@@1.69,0.65 ± 1.76 / 46.36 ± 2.02@@0.65,6.66 ± 0.46 / 1.49 ± 0.28@@6.66,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k</a>,🧠,3.59@@3.59,3482503680.0,49152.0,2048.0,✓,✗,(✓),✗,20.96 ± 1.46 / 32.74 ± 0.88@@20.96,56.65 ± 2.93 / 51.59 ± 2.64@@56.65,53.19 ± 1.23 / 48.88 ± 1.08@@53.19,5.02 ± 2.77 / 45.10 ± 5.01@@5.02,3.21 ± 1.89 / 44.06 ± 4.58@@3.21,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://hf.co/mideind/IceBERT'>mideind/IceBERT</a>,🔍,3.59@@3.59,162944162.0,50000.0,514.0,✓,✗,(✓),✗,6.51 ± 5.17 / 27.07 ± 4.30@@6.51,71.85 ± 0.58 / 74.39 ± 0.63@@71.85,69.19 ± 0.76 / 72.13 ± 0.70@@69.19,0.71 ± 1.14 / 34.77 ± 1.74@@0.71,1.76 ± 1.89 / 37.22 ± 4.72@@1.76,2.27 ± 2.15 / 1.16 ± 1.12@@2.27,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,3.61@@3.61,93990500.0,65636.0,512.0,✓,✗,(✓),✓,15.63 ± 3.75 / 36.58 ± 3.22@@15.63,43.97 ± 0.77 / 43.42 ± 0.81@@43.97,38.85 ± 1.66 / 38.09 ± 1.53@@38.85,3.68 ± 1.42 / 50.60 ± 1.13@@3.68,0.44 ± 1.57 / 49.10 ± 1.12@@0.44,21.59 ± 2.36 / 12.56 ± 1.26@@21.59,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,3.62@@3.62,2061162016.0,128000.0,?,✓,✗,(✓),✓,23.60 ± 3.51 / 44.55 ± 3.97@@23.60,32.47 ± 3.70 / 31.92 ± 3.82@@32.47,29.72 ± 4.96 / 28.26 ± 4.63@@29.72,0.43 ± 1.81 / 45.78 ± 3.53@@0.43,-0.05 ± 1.55 / 45.06 ± 2.41@@-0.05,23.05 ± 1.16 / 0.00 ± 0.00@@23.05,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,3.62@@3.62,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,14.57 ± 4.48 / 33.27 ± 4.74@@14.57,30.01 ± 2.92 / 30.21 ± 3.17@@30.01,27.55 ± 5.28 / 26.84 ± 5.51@@27.55,-0.39 ± 0.76 / 33.29 ± 0.27@@-0.39,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,34.55 ± 3.59 / 20.82 ± 2.53@@34.55,16.5.0.dev0@@160500,15.4.1@@150401,15.4.1@@150401,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.4.1@@150401
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.62@@3.62,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,14.97 ± 3.02 / 38.75 ± 2.37@@14.97,14.09 ± 1.71 / 14.70 ± 1.57@@14.09,20.63 ± 2.43 / 19.58 ± 1.92@@20.63,3.29 ± 2.62 / 49.22 ± 1.28@@3.29,4.20 ± 2.46 / 48.67 ± 1.55@@4.20,43.53 ± 1.95 / 22.84 ± 1.57@@43.53,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.63@@3.63,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,1.93 ± 2.26 / 22.17 ± 0.53@@1.93,50.51 ± 1.64 / 33.73 ± 1.47@@50.51,52.43 ± 1.23 / 38.50 ± 2.20@@52.43,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,24.22 ± 3.91 / 8.18 ± 2.62@@24.22,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,3.63@@3.63,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,24.94 ± 1.25 / 47.26 ± 0.83@@24.94,32.71 ± 1.61 / 31.25 ± 1.51@@32.71,29.22 ± 1.27 / 28.28 ± 1.18@@29.22,4.52 ± 1.34 / 42.97 ± 1.01@@4.52,1.78 ± 1.67 / 45.31 ± 1.86@@1.78,17.99 ± 1.03 / 0.00 ± 0.00@@17.99,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,3.63@@3.63,124494162.0,50000.0,514.0,✓,✗,(✓),✗,9.97 ± 4.01 / 29.49 ± 3.70@@9.97,66.81 ± 0.77 / 69.56 ± 0.68@@66.81,64.04 ± 1.24 / 67.08 ± 1.11@@64.04,1.87 ± 1.29 / 43.63 ± 4.21@@1.87,-0.09 ± 1.74 / 39.63 ± 4.57@@-0.09,0.42 ± 0.60 / 0.26 ± 0.34@@0.42,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/neurocode/IsRoBERTa'>neurocode/IsRoBERTa</a>,🔍,3.63@@3.63,83452418.0,52000.0,514.0,✓,✗,(✓),✗,15.82 ± 2.40 / 36.31 ± 2.31@@15.82,59.28 ± 1.07 / 61.47 ± 0.79@@59.28,58.38 ± 0.78 / 60.59 ± 0.99@@58.38,1.08 ± 1.45 / 46.71 ± 3.91@@1.08,0.48 ± 1.58 / 46.49 ± 1.90@@0.48,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,3.70@@3.70,3836021760.0,200064.0,131072.0,✓,✗,(✓),✓,8.55 ± 3.59 / 34.00 ± 3.94@@8.55,53.15 ± 1.51 / 43.56 ± 1.48@@53.15,42.31 ± 1.87 / 36.03 ± 1.96@@42.31,5.36 ± 2.26 / 42.28 ± 5.74@@5.36,1.65 ± 2.32 / 39.73 ± 4.40@@1.65,11.01 ± 0.37 / 0.00 ± 0.00@@11.01,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,3.71@@3.71,949685760.0,128256.0,4096.0,✗,✗,(✓),✓,9.69 ± 1.84 / 23.75 ± 1.81@@9.69,38.69 ± 3.15 / 25.43 ± 2.77@@38.69,37.48 ± 1.87 / 26.80 ± 1.93@@37.48,0.68 ± 1.05 / 43.40 ± 4.17@@0.68,0.69 ± 1.34 / 44.22 ± 4.38@@0.69,22.14 ± 2.08 / 11.10 ± 1.76@@22.14,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/marksverdhei/modern-norbert3-large'>marksverdhei/modern-norbert3-large</a>,🔍,3.75@@3.75,354290512.0,50000.0,512.0,✓,✗,(✓),✗,17.40 ± 7.39 / 34.91 ± 5.37@@17.40,46.91 ± 1.78 / 49.42 ± 1.88@@46.91,47.88 ± 1.93 / 50.81 ± 1.95@@47.88,0.38 ± 1.34 / 39.32 ± 4.27@@0.38,0.23 ± 1.86 / 42.66 ± 3.49@@0.23,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.79@@3.79,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-3.61 ± 3.27 / 18.39 ± 3.75@@-3.61,18.85 ± 3.65 / 18.45 ± 2.76@@18.85,21.45 ± 3.36 / 20.41 ± 3.19@@21.45,2.12 ± 1.89 / 41.08 ± 2.86@@2.12,0.75 ± 2.21 / 36.66 ± 3.45@@0.75,51.11 ± 2.58 / 27.68 ± 3.15@@51.11,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/vesteinn/ScandiBERT'>vesteinn/ScandiBERT</a>,🔍,3.79@@3.79,124548012.0,50005.0,514.0,✓,✗,(✓),✓,13.34 ± 9.43 / 30.10 ± 5.98@@13.34,29.01 ± 19.57 / 30.54 ± 20.56@@29.01,45.61 ± 22.81 / 47.74 ± 23.98@@45.61,10.41 ± 13.68 / 41.18 ± 10.15@@10.41,-0.11 ± 0.21 / 34.43 ± 2.10@@-0.11,5.42 ± 3.76 / 1.69 ± 1.14@@5.42,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.82@@3.82,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,19.27 ± 2.69 / 31.40 ± 2.05@@19.27,30.17 ± 3.31 / 30.95 ± 3.40@@30.17,29.79 ± 4.00 / 29.99 ± 4.48@@29.79,-0.28 ± 0.81 / 33.47 ± 0.41@@-0.28,-1.48 ± 1.16 / 35.63 ± 2.77@@-1.48,10.24 ± 1.16 / 2.78 ± 0.71@@10.24,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.84@@3.84,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,2.11 ± 2.41 / 20.38 ± 3.41@@2.11,7.78 ± 3.33 / 9.08 ± 2.59@@7.78,18.39 ± 5.38 / 18.66 ± 4.78@@18.39,-0.07 ± 0.88 / 35.25 ± 2.01@@-0.07,0.63 ± 1.56 / 37.56 ± 2.50@@0.63,48.77 ± 2.54 / 29.71 ± 2.17@@48.77,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,3.92@@3.92,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,8.89 ± 1.23 / 23.51 ± 2.31@@8.89,35.62 ± 2.58 / 34.86 ± 1.94@@35.62,34.64 ± 2.08 / 33.51 ± 2.26@@34.64,0.29 ± 1.30 / 38.90 ± 3.92@@0.29,1.25 ± 1.14 / 40.54 ± 4.52@@1.25,6.31 ± 0.92 / 0.08 ± 0.10@@6.31,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.92@@3.92,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,8.02 ± 2.33 / 36.49 ± 2.16@@8.02,35.45 ± 2.60 / 31.70 ± 3.10@@35.45,34.04 ± 0.92 / 30.97 ± 1.51@@34.04,-0.34 ± 0.97 / 41.62 ± 4.17@@-0.34,-3.15 ± 0.96 / 41.08 ± 3.70@@-3.15,10.22 ± 1.16 / 1.46 ± 0.81@@10.22,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.95@@3.95,?,103424.0,131072.0,✓,✗,(✓),✗,3.71 ± 1.63 / 19.27 ± 5.63@@3.71,31.92 ± 2.17 / 29.63 ± 2.02@@31.92,34.09 ± 0.91 / 33.46 ± 1.62@@34.09,0.82 ± 1.01 / 44.10 ± 3.60@@0.82,0.99 ± 1.89 / 43.96 ± 4.25@@0.99,14.00 ± 3.05 / 4.22 ± 1.41@@14.00,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.95@@3.95,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,2.89 ± 3.29 / 25.42 ± 4.07@@2.89,37.34 ± 2.67 / 28.43 ± 2.54@@37.34,39.53 ± 2.66 / 30.16 ± 2.45@@39.53,1.27 ± 1.83 / 46.91 ± 2.84@@1.27,1.79 ± 1.97 / 45.60 ± 4.32@@1.79,8.88 ± 2.53 / 0.10 ± 0.16@@8.88,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.96@@3.96,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,5.92 ± 2.70 / 31.83 ± 3.01@@5.92,30.69 ± 1.97 / 27.44 ± 1.86@@30.69,33.58 ± 1.63 / 29.90 ± 1.72@@33.58,1.25 ± 1.98 / 44.89 ± 4.13@@1.25,2.20 ± 1.39 / 44.64 ± 3.20@@2.20,8.89 ± 1.02 / 0.36 ± 0.47@@8.89,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,3.97@@3.97,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,9.29 ± 3.13 / 21.97 ± 4.69@@9.29,26.91 ± 2.14 / 28.33 ± 2.28@@26.91,29.90 ± 1.20 / 30.89 ± 1.44@@29.90,0.00 ± 0.00 / 33.30 ± 0.21@@0.00,0.00 ± 0.00 / 32.97 ± 0.25@@0.00,9.58 ± 0.66 / 0.68 ± 0.33@@9.58,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
