model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,open,trained_from_scratch
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,4.23,7504568320,128167,32768,✓,✗,(✓),✓
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,4.24,68977172480,32032,8192,✗,✗,(✓),✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,4.25,1235814400,128256,131072,✓,✗,(✓),✓
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,4.27,4221757440,120818,262144,✓,✗,(✓),✓
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.29,1235814400,128256,131072,✓,✗,(✓),✓
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,4.29,949685760,128256,4096,✗,✗,(✓),✓
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,4.30,8888227328,131072,131072,✓,✗,✗,✓
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,4.31,999885952,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,4.32,7504568320,128167,32768,✓,✗,(✓),✓
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,4.32,2023868416,64000,4096,✓,✗,(✓),✗
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,4.33,22007401,96105,128,✓,✗,(✓),✗
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,4.36,2680100864,131072,262144,✓,✗,✗,✓
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,4.37,7768117248,256000,8192,✓,✗,(✓),✓
<a href='https://hf.co/mideind/IceBERT-mC4-is'>mideind/IceBERT-mC4-is</a>,🔍,4.37,162944162,50000,514,✓,✗,(✓),✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,4.38,7615616512,152064,131072,✓,✗,(✓),✓
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,4.38,186112512,64000,2048,✓,✗,(✓),✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,4.38,751632384,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.39,1170340608,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.41,361821120,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,4.42,2611528704,128000,4096,✓,✗,(✓),✓
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.45,742489344,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.46,353424384,65536,2048,✓,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.47,134515008,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.47,354483968,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.47,134515008,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.48,268098176,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,4.49,751632384,151936,40960,✓,✗,✗,✓
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,4.49,2061162016,128000,,✓,✗,(✓),✓
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,4.49,1170340608,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,4.51,2611528704,128000,4096,✓,✗,(✓),✓
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.52,361821120,49152,8192,✓,✗,(✓),✓
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,4.52,268098176,262144,32768,✓,✗,(✓),✗
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,4.54,359431168,128256,4096,✗,✗,(✓),✓
<a href='https://hf.co/HPLT/hplt2c_isl_checkpoints'>HPLT/hplt2c_isl_checkpoints</a>,🧠,4.55,,262272,2048,✓,✗,(✓),✗
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.56,268098176,262144,32768,✓,✗,(✓),✓
<a href='https://hf.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,4.58,15000272,50000,512,✓,✗,(✓),✗
<a href='https://hf.co/marksverdhei/modern-norbert3-base'>marksverdhei/modern-norbert3-base</a>,🔍,4.58,123994448,50000,512,✓,✗,(✓),✗
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,4.59,134516160,49154,8192,✓,✗,(✓),✗
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.59,107908288,65536,262144,✓,✗,(✓),✓
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,4.62,186112512,64000,2048,✓,✗,(✓),✗
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,4.62,1170340608,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,4.62,1791080448,120818,262144,✓,✗,(✓),✓
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,4.64,3836021760,200064,131072,✓,✗,(✓),✓
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.64,320956992,65536,4096,✓,✗,(✓),✓
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.65,107908288,65536,262144,✓,✗,(✓),✓
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,4.65,140248512,128256,4096,✗,✗,(✓),✓
<a href='https://hf.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,4.65,40641104,50000,512,✓,✗,(✓),✗
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.66,17406164992,151936,32768,✓,✗,(✓),✓
<a href='https://hf.co/HPLT/hplt2c_swe_checkpoints'>HPLT/hplt2c_swe_checkpoints</a>,🧠,4.66,,262272,2048,✓,✗,(✓),✗
<a href='https://hf.co/ltg/norbert'>ltg/norbert</a>,🔍,4.67,111952540,32922,512,✓,✗,(✓),✗
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,4.72,1777088000,151936,131072,✓,✗,(✓),✓
<a href='https://hf.co/HPLT/hplt2c_dan_checkpoints'>HPLT/hplt2c_dan_checkpoints</a>,🧠,4.72,,262272,2048,✓,✗,(✓),✗
<a href='https://hf.co/HPLT/hplt2c_nno_checkpoints'>HPLT/hplt2c_nno_checkpoints</a>,🧠,4.77,,262272,2048,✓,✗,(✓),✗
<a href='https://hf.co/HPLT/hplt2c_nob_checkpoints'>HPLT/hplt2c_nob_checkpoints</a>,🧠,4.78,,262272,2048,✓,✗,(✓),✗
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,4.82,1170340608,65536,128000,✗,✗,(✓),✓
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.82,56656128,8192,2048,✓,✗,(✓),✓
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,4.84,359431168,128256,32768,✗,✗,(✓),✓
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,4.85,949685760,128256,32768,✗,✗,(✓),✓
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,4.89,140248512,128256,32768,✗,✗,(✓),✓
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,4.90,811778816,50257,1024,✓,✗,(✓),✗
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,4.90,379988992,50257,1024,✓,✗,(✓),✗
<a href='https://hf.co/openai-community/gpt2'>openai-community/gpt2</a>,🧠,4.90,137022720,50257,1024,✓,✗,(✓),✗
