<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
<a href='https://hf.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,-@@100,N/A,354406402.0,50000.0,512.0,✓,✗,44.01 ± 4.19 / 61.14 ± 4.46@@44.01,64.51 ± 1.98 / 60.56 ± 1.95@@64.51,65.00 ± 2.37 / 81.44 ± 1.54@@65.00,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/merge-crew/da-sv-dare-ties-density-0.3'>merge-crew/da-sv-dare-ties-density-0.3</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,7.81 ± 1.46 / 29.85 ± 0.89@@7.81,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
skole-gpt-mixtral,🧠,-@@100,N/A,?,32000.0,32768.0,✓,✗,51.51 ± 1.63 / 66.73 ± 1.63@@51.51,49.17 ± 2.72 / 34.74 ± 2.27@@49.17,32.04 ± 2.30 / 64.63 ± 1.42@@32.04,-@@-1,66.83 ± 0.63 / 21.53 ± 1.17@@66.83,65.77 ± 2.06 / 74.26 ± 1.57@@65.77,77.56 ± 1.97 / 85.02 ± 1.31@@77.56,30.34 ± 1.47 / 46.85 ± 1.17@@30.34,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,-@@0,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://hf.co/merge-crew/da-sv-dare-ties-density-0.6'>merge-crew/da-sv-dare-ties-density-0.6</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,17.72 ± 1.15 / 35.20 ± 0.92@@17.72,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
<a href='https://hf.co/merge-crew/da-sv-dare-ties-density-0.9'>merge-crew/da-sv-dare-ties-density-0.9 (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,51.87 ± 3.49 / 66.36 ± 2.76@@51.87,48.31 ± 3.21 / 36.48 ± 4.11@@48.31,22.18 ± 5.08 / 57.25 ± 3.60@@22.18,-@@-1,67.08 ± 0.46 / 22.20 ± 0.79@@67.08,18.75 ± 4.55 / 33.75 ± 2.97@@18.75,53.17 ± 3.57 / 64.22 ± 3.27@@53.17,10.59 ± 3.45 / 30.16 ± 3.30@@10.59,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://hf.co/merge-crew/da-sv-dare-ties-density-0.9'>merge-crew/da-sv-dare-ties-density-0.9</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,21.04 ± 0.95 / 38.58 ± 0.69@@21.04,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
<a href='https://hf.co/merge-crew/da-sv-slerp'>merge-crew/da-sv-slerp (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,51.51 ± 2.98 / 62.18 ± 2.93@@51.51,47.01 ± 1.74 / 35.11 ± 2.31@@47.01,35.14 ± 2.98 / 62.15 ± 3.74@@35.14,-@@-1,67.57 ± 0.40 / 22.67 ± 0.60@@67.57,33.18 ± 2.80 / 44.84 ± 2.82@@33.18,70.54 ± 3.68 / 80.16 ± 2.49@@70.54,14.90 ± 4.01 / 34.96 ± 3.14@@14.90,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://hf.co/merge-crew/da-sv-slerp'>merge-crew/da-sv-slerp</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,27.72 ± 1.06 / 44.94 ± 0.87@@27.72,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
<a href='https://hf.co/merge-crew/da-sv-task-arithmetic'>merge-crew/da-sv-task-arithmetic (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,51.80 ± 3.53 / 62.88 ± 3.25@@51.80,47.59 ± 1.90 / 34.82 ± 2.36@@47.59,34.09 ± 3.93 / 61.88 ± 3.91@@34.09,-@@-1,67.56 ± 0.44 / 22.58 ± 0.66@@67.56,30.21 ± 3.59 / 42.66 ± 3.26@@30.21,71.45 ± 3.37 / 80.78 ± 2.35@@71.45,15.34 ± 2.98 / 35.43 ± 2.46@@15.34,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://hf.co/merge-crew/da-sv-task-arithmetic'>merge-crew/da-sv-task-arithmetic</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,26.76 ± 1.30 / 44.36 ± 1.02@@26.76,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
<a href='https://hf.co/merge-crew/da-sv-dare-ties-density-0.6'>merge-crew/da-sv-dare-ties-density-0.6 (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,50.28 ± 2.97 / 64.57 ± 2.54@@50.28,45.39 ± 3.29 / 33.49 ± 3.36@@45.39,17.95 ± 4.82 / 46.65 ± 4.51@@17.95,-@@-1,66.46 ± 0.51 / 20.44 ± 0.97@@66.46,17.46 ± 2.90 / 30.63 ± 2.63@@17.46,52.44 ± 3.21 / 64.22 ± 2.81@@52.44,8.23 ± 2.57 / 29.34 ± 2.02@@8.23,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://hf.co/merge-crew/da-sv-ties'>merge-crew/da-sv-ties (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,52.46 ± 2.88 / 65.93 ± 2.43@@52.46,47.81 ± 2.96 / 34.56 ± 3.62@@47.81,16.43 ± 5.03 / 48.06 ± 5.41@@16.43,-@@-1,67.22 ± 0.44 / 22.20 ± 0.77@@67.22,16.62 ± 6.04 / 32.50 ± 4.00@@16.62,51.58 ± 3.08 / 62.50 ± 3.20@@51.58,10.90 ± 2.72 / 29.69 ± 3.05@@10.90,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,-@@0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://hf.co/ltg/norbert3-base'>ltg/norbert3-base</a>,🔍,-@@100,N/A,124032002.0,50000.0,512.0,✓,✗,42.27 ± 1.20 / 60.82 ± 1.01@@42.27,57.36 ± 2.58 / 55.09 ± 1.91@@57.36,43.02 ± 7.15 / 68.92 ± 4.51@@43.02,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-@@100,?,11168796672.0,32128.0,32768.0,✓,✓,52.19 ± 1.42 / 68.50 ± 1.07@@52.19,57.22 ± 2.22 / 41.26 ± 4.61@@57.22,33.47 ± 3.52 / 62.51 ± 3.37@@33.47,-@@-1,64.89 ± 0.15 / 14.86 ± 0.28@@64.89,59.30 ± 1.11 / 69.36 ± 0.93@@59.30,68.63 ± 2.25 / 78.76 ± 1.52@@68.63,57.80 ± 2.15 / 68.11 ± 1.73@@57.80,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,-@@0,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.1.0@@150100
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,-@@100,?,7452725248.0,250680.0,4096.0,✓,✗,14.75 ± 4.12 / 25.11 ± 3.97@@14.75,32.16 ± 2.42 / 23.20 ± 1.89@@32.16,0.00 ± 0.00 / 33.49 ± 0.27@@0.00,-@@-1,66.33 ± 0.78 / 20.65 ± 0.37@@66.33,16.83 ± 1.77 / 34.69 ± 1.24@@16.83,37.06 ± 2.56 / 52.48 ± 2.40@@37.06,15.60 ± 1.46 / 35.88 ± 1.25@@15.60,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,14.2.0@@140200,15.2.0.dev0@@150200,14.0.4@@140004
<a href='https://hf.co/jjzha/dajobbert-base-uncased'>jjzha/dajobbert-base-uncased</a>,🔍,-@@100,N/A,110425346.0,31748.0,512.0,✓,✗,39.65 ± 1.31 / 59.23 ± 0.94@@39.65,60.78 ± 1.12 / 55.74 ± 1.15@@60.78,37.67 ± 7.20 / 65.47 ± 3.22@@37.67,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/joelito/legal-xlm-roberta-base'>joelito/legal-xlm-roberta-base</a>,🔍,-@@100,N/A,184347650.0,128000.0,512.0,✓,✗,36.43 ± 1.10 / 56.80 ± 1.26@@36.43,-@@-1,44.91 ± 2.68 / 70.74 ± 2.71@@44.91,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/joelito/legal-xlm-roberta-large'>joelito/legal-xlm-roberta-large</a>,🔍,-@@100,N/A,434962434.0,128000.0,512.0,✓,✗,35.67 ± 6.45 / 54.23 ± 7.36@@35.67,-@@-1,10.25 ± 11.58 / 50.79 ± 7.22@@10.25,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/jonfd/electra-small-nordic'>jonfd/electra-small-nordic</a>,🔍,-@@100,N/A,21943938.0,96105.0,128.0,✓,✗,34.43 ± 4.13 / 51.90 ± 6.17@@34.43,65.40 ± 2.02 / 60.53 ± 1.65@@65.40,67.27 ± 1.04 / 83.37 ± 0.64@@67.27,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/norbert2'>ltg/norbert2</a>,🔍,-@@100,N/A,125165498.0,50104.0,512.0,✓,✗,37.88 ± 3.32 / 58.47 ± 2.32@@37.88,56.50 ± 2.69 / 53.97 ± 2.15@@56.50,40.71 ± 2.69 / 68.17 ± 1.66@@40.71,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,-@@100,?,?,65024.0,?,✓,✗,47.10 ± 1.77 / 63.54 ± 1.72@@47.10,39.80 ± 2.97 / 27.63 ± 3.28@@39.80,12.08 ± 3.87 / 41.84 ± 5.29@@12.08,-@@-1,65.24 ± 0.37 / 18.91 ± 0.58@@65.24,11.31 ± 2.12 / 33.65 ± 1.42@@11.31,37.63 ± 1.58 / 58.06 ± 1.04@@37.63,4.74 ± 1.06 / 27.57 ± 0.76@@4.74,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,-@@0,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/ltg/bnc-bert-span-0.25x'>ltg/bnc-bert-span-0.25x</a>,🔍,-@@100,N/A,79739906.0,16385.0,512.0,✓,✗,16.48 ± 1.75 / 38.34 ± 1.99@@16.48,14.01 ± 2.41 / 13.19 ± 2.27@@14.01,1.07 ± 1.37 / 46.76 ± 3.28@@1.07,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/bnc-bert-span-2x'>ltg/bnc-bert-span-2x</a>,🔍,-@@100,N/A,79739906.0,16385.0,512.0,✓,✗,16.50 ± 1.74 / 38.35 ± 2.00@@16.50,14.96 ± 2.36 / 14.05 ± 2.06@@14.96,0.87 ± 1.32 / 46.71 ± 3.33@@0.87,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/bnc-bert-span-document'>ltg/bnc-bert-span-document</a>,🔍,-@@100,N/A,79739906.0,16385.0,512.0,✓,✗,16.44 ± 1.78 / 38.32 ± 2.01@@16.44,14.06 ± 2.46 / 13.26 ± 2.28@@14.06,1.09 ± 1.44 / 46.77 ± 3.30@@1.09,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/bnc-bert-span-order'>ltg/bnc-bert-span-order</a>,🔍,-@@100,N/A,79739906.0,16385.0,512.0,✓,✗,16.52 ± 1.78 / 38.37 ± 2.04@@16.52,14.82 ± 2.16 / 13.93 ± 1.92@@14.82,0.69 ± 1.39 / 46.65 ± 3.31@@0.69,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/bnc-bert-subword'>ltg/bnc-bert-subword</a>,🔍,-@@100,N/A,79739906.0,16385.0,512.0,✓,✗,16.53 ± 1.78 / 38.38 ± 2.03@@16.53,14.01 ± 2.62 / 13.09 ± 2.46@@14.01,0.83 ± 1.31 / 46.70 ± 3.32@@0.83,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/bnc-bert-word'>ltg/bnc-bert-word</a>,🔍,-@@100,N/A,79739906.0,16385.0,512.0,✓,✗,16.50 ± 1.75 / 38.34 ± 2.00@@16.50,14.64 ± 2.00 / 13.84 ± 1.85@@14.64,1.12 ± 1.44 / 46.75 ± 3.35@@1.12,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-@@100,N/A,2023868416.0,64000.0,4096.0,✓,✗,1.77 ± 1.23 / 17.98 ± 0.23@@1.77,16.87 ± 4.01 / 14.48 ± 2.68@@16.87,-0.19 ± 0.37 / 33.18 ± 0.27@@-0.19,-@@-1,66.82 ± 0.25 / 22.20 ± 0.38@@66.82,9.52 ± 1.33 / 28.79 ± 2.03@@9.52,37.06 ± 2.46 / 55.70 ± 1.61@@37.06,6.91 ± 1.26 / 28.93 ± 0.64@@6.91,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/merge-crew/da-sv-ties'>merge-crew/da-sv-ties</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,20.02 ± 1.12 / 37.69 ± 0.76@@20.02,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0@@140200,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf</a>,📝,-@@100,?,13015866880.0,32000.0,4096.0,✓,✗,48.42 ± 2.06 / 64.62 ± 1.31@@48.42,33.84 ± 2.18 / 21.91 ± 1.65@@33.84,16.51 ± 2.20 / 51.11 ± 2.99@@16.51,-@@-1,61.22 ± 1.85 / 9.88 ± 2.34@@61.22,-0.19 ± 2.50 / 25.31 ± 1.35@@-0.19,33.62 ± 3.22 / 49.54 ± 3.09@@33.62,3.22 ± 1.01 / 25.63 ± 0.82@@3.22,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,14.3.0@@140300
<a href='https://hf.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf</a>,🧠,-@@100,N/A,13015866880.0,32000.0,4096.0,✓,✗,27.35 ± 4.52 / 42.16 ± 6.58@@27.35,41.09 ± 2.36 / 34.03 ± 1.54@@41.09,27.54 ± 2.52 / 60.83 ± 2.65@@27.54,-@@-1,67.36 ± 0.28 / 22.94 ± 0.65@@67.36,13.43 ± 2.10 / 34.79 ± 1.44@@13.43,46.76 ± 3.02 / 63.58 ± 2.21@@46.76,9.05 ± 1.52 / 30.00 ± 1.02@@9.05,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,14.4.0@@140400
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,-@@100,N/A,3212749824.0,128256.0,131073.0,✓,✗,38.90 ± 1.93 / 44.34 ± 1.64@@38.90,41.13 ± 2.85 / 27.15 ± 1.82@@41.13,9.60 ± 2.51 / 44.34 ± 5.20@@9.60,-@@-1,63.35 ± 0.50 / 15.11 ± 0.93@@63.35,13.73 ± 1.77 / 33.24 ± 1.58@@13.73,43.12 ± 2.76 / 62.08 ± 1.65@@43.12,12.19 ± 0.97 / 33.27 ± 0.89@@12.19,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,-@@0,13.0.0@@130000,14.2.0@@140200,15.2.0.dev0@@150200,13.0.0@@130000
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✗,✗,50.29 ± 1.48 / 66.83 ± 1.17@@50.29,52.34 ± 1.58 / 34.16 ± 3.03@@52.34,21.22 ± 1.13 / 55.21 ± 2.11@@21.22,-@@-1,67.46 ± 0.28 / 21.89 ± 0.77@@67.46,19.09 ± 1.05 / 38.79 ± 0.91@@19.09,59.80 ± 2.39 / 73.34 ± 1.58@@59.80,39.22 ± 2.39 / 53.79 ± 2.07@@39.22,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,-@@0,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
"<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (zero-shot, val)</a>",📝,-@@100,3.98,70553706496.0,128256.0,131072.0,✓,✗,56.83 ± 1.44 / 67.79 ± 0.85@@56.83,63.76 ± 1.85 / 41.35 ± 2.00@@63.76,39.15 ± 2.99 / 69.40 ± 1.43@@39.15,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,N/A,135326210.0,119547.0,512.0,✓,✗,36.60 ± 1.60 / 56.93 ± 1.48@@36.60,54.48 ± 2.16 / 52.85 ± 2.28@@54.48,8.84 ± 5.33 / 51.76 ± 3.80@@8.84,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,51.47 ± 2.08 / 65.99 ± 1.63@@51.47,51.18 ± 1.84 / 30.17 ± 1.30@@51.18,47.21 ± 3.73 / 73.09 ± 1.81@@47.21,-@@-1,64.08 ± 0.20 / 13.61 ± 0.29@@64.08,74.10 ± 2.74 / 80.31 ± 2.15@@74.10,90.45 ± 2.89 / 93.44 ± 2.09@@90.45,60.42 ± 1.81 / 70.00 ± 1.50@@60.42,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/sarnikowski/convbert-small-da-cased'>sarnikowski/convbert-small-da-cased</a>,🔍,-@@100,N/A,13014618.0,28995.0,512.0,✓,✗,29.52 ± 2.89 / 47.81 ± 4.54@@29.52,60.59 ± 1.84 / 57.31 ± 1.47@@60.59,57.10 ± 2.02 / 78.14 ± 1.10@@57.10,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sarnikowski/convbert-medium-small-da-cased'>sarnikowski/convbert-medium-small-da-cased</a>,🔍,-@@100,N/A,24486086.0,28995.0,512.0,✓,✗,36.85 ± 3.28 / 56.27 ± 3.98@@36.85,64.28 ± 1.74 / 59.29 ± 1.54@@64.28,63.55 ± 1.19 / 81.41 ± 0.64@@63.55,0.37 ± 0.55 / 0.33 ± 0.48@@0.37,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/pere/nb-roberta-base-scandinavian-long'>pere/nb-roberta-base-scandinavian-long</a>,🔍,-@@100,N/A,124647170.0,50265.0,512.0,✓,✗,40.71 ± 1.48 / 59.29 ± 1.86@@40.71,-@@-1,52.05 ± 9.20 / 74.77 ± 4.76@@52.05,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,8192.0,✓,✗,58.14 ± 1.36 / 70.46 ± 1.28@@58.14,64.02 ± 1.51 / 47.54 ± 1.89@@64.02,52.62 ± 1.32 / 75.42 ± 0.98@@52.62,-@@-1,67.07 ± 0.18 / 20.37 ± 0.42@@67.07,76.89 ± 1.34 / 82.65 ± 1.01@@76.89,92.24 ± 0.65 / 94.78 ± 0.45@@92.24,60.80 ± 1.20 / 70.12 ± 0.98@@60.80,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,14.3.0@@140300
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,-@@100,N/A,70553706496.0,128256.0,8192.0,✓,✗,58.13 ± 1.33 / 71.61 ± 1.04@@58.13,63.21 ± 1.85 / 49.31 ± 2.84@@63.21,56.12 ± 2.42 / 76.82 ± 2.07@@56.12,-@@-1,68.36 ± 0.28 / 24.65 ± 0.54@@68.36,84.17 ± 1.64 / 88.16 ± 1.23@@84.17,91.73 ± 0.86 / 94.50 ± 0.57@@91.73,56.02 ± 4.97 / 65.67 ± 4.14@@56.02,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,14.3.0@@140300,14.3.0@@140300,15.2.0.dev0@@150200,14.3.0@@140300
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,-@@100,?,8030261248.0,128256.0,8192.0,✓,✗,48.43 ± 3.31 / 62.09 ± 3.62@@48.43,57.74 ± 2.06 / 40.66 ± 2.58@@57.74,27.12 ± 2.83 / 60.40 ± 2.70@@27.12,-@@-1,66.36 ± 0.47 / 19.75 ± 0.84@@66.36,32.64 ± 1.89 / 48.81 ± 1.61@@32.64,59.06 ± 1.88 / 72.44 ± 1.20@@59.06,29.17 ± 2.24 / 44.59 ± 2.00@@29.17,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,12.6.1@@120601
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,51.16 ± 2.15 / 67.00 ± 1.51@@51.16,49.46 ± 1.88 / 32.11 ± 2.41@@49.46,23.01 ± 3.93 / 49.99 ± 4.63@@23.01,-@@-1,65.26 ± 0.48 / 18.81 ± 0.72@@65.26,34.33 ± 1.52 / 49.64 ± 1.40@@34.33,65.51 ± 2.40 / 77.01 ± 1.56@@65.51,24.30 ± 3.14 / 42.50 ± 2.67@@24.30,14.1.2@@140102,14.0.3@@140003,14.1.2@@140102,-@@0,14.0.3@@140003,14.2.0@@140200,15.2.0.dev0@@150200,14.0.3@@140003
<a href='https://hf.co/sarnikowski/electra-small-discriminator-da-256-cased'>sarnikowski/electra-small-discriminator-da-256-cased</a>,🔍,-@@100,N/A,13353858.0,28995.0,512.0,✓,✗,24.38 ± 1.74 / 40.85 ± 3.07@@24.38,60.63 ± 1.32 / 56.90 ± 1.49@@60.63,68.58 ± 1.38 / 84.12 ± 0.69@@68.58,1.91 ± 0.77 / 1.44 ± 0.61@@1.91,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
