<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,-@@100,N/A,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,35.38 ± 3.95 / 50.75 ± 5.55@@35.38,63.02 ± 1.67 / 48.41 ± 3.38@@63.02,7.74 ± 4.12 / 38.11 ± 4.01@@7.74,58.96 ± 2.09 / 34.01 ± 1.84@@58.96,-@@-1,16.28 ± 1.51 / 35.03 ± 1.19@@16.28,27.56 ± 4.73 / 64.35 ± 2.54@@27.56,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,-@@100,33.78,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,47.70 ± 1.39 / 57.58 ± 2.63@@47.70,59.74 ± 1.39 / 38.94 ± 2.67@@59.74,32.72 ± 1.54 / 63.45 ± 2.07@@32.72,36.21 ± 3.40 / 0.89 ± 0.34@@36.21,-@@-1,25.62 ± 1.14 / 43.64 ± 0.90@@25.62,43.12 ± 3.07 / 68.50 ± 2.17@@43.12,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,-@@100,0.94,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,22.86 ± 3.68 / 43.85 ± 4.37@@22.86,43.28 ± 4.24 / 35.68 ± 3.77@@43.28,0.16 ± 1.75 / 34.84 ± 0.65@@0.16,41.72 ± 2.79 / 17.54 ± 1.70@@41.72,-@@-1,9.80 ± 1.44 / 31.85 ± 1.04@@9.80,6.08 ± 2.14 / 54.11 ± 0.97@@6.08,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual</a>,📝,-@@100,?,5465415680.0,65024.0,8192.0,✓,✓,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.83 ± 1.13 / 24.01 ± 0.95@@0.83,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,-@@100,N/A,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,34.77 ± 4.37 / 48.68 ± 5.33@@34.77,47.54 ± 2.82 / 37.56 ± 4.40@@47.54,0.00 ± 0.00 / 33.50 ± 0.37@@0.00,61.21 ± 2.38 / 34.48 ± 1.71@@61.21,-@@-1,25.86 ± 1.42 / 40.81 ± 1.25@@25.86,19.87 ± 2.75 / 51.95 ± 1.61@@19.87,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,9.38 ± 1.41 / 31.97 ± 0.96@@9.38,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,-@@100,N/A,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,20.05 ± 4.76 / 31.89 ± 5.98@@20.05,33.37 ± 3.91 / 29.22 ± 2.32@@33.37,5.85 ± 3.35 / 37.53 ± 2.75@@5.85,60.60 ± 1.80 / 34.40 ± 1.74@@60.60,-@@-1,17.74 ± 1.13 / 37.24 ± 0.80@@17.74,11.06 ± 2.11 / 53.98 ± 1.48@@11.06,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,-@@100,?,2061162016.0,128000.0,?,✓,✗,(✓),✓,2.29 ± 1.90 / 25.64 ± 1.73@@2.29,12.80 ± 3.24 / 13.47 ± 3.27@@12.80,0.14 ± 0.69 / 35.11 ± 3.11@@0.14,14.20 ± 3.20 / 0.12 ± 0.08@@14.20,-@@-1,0.11 ± 1.32 / 25.83 ± 0.78@@0.11,-8.03 ± 2.97 / 46.13 ± 3.20@@-8.03,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/vesteinn/DanskBERT'>vesteinn/DanskBERT</a>,🔍,-@@100,N/A,124548012.0,50005.0,514.0,✓,✗,(✓),✓,25.98 ± 3.91 / 44.84 ± 4.21@@25.98,59.19 ± 1.58 / 61.81 ± 1.40@@59.19,-0.08 ± 1.33 / 42.62 ± 4.83@@-0.08,24.72 ± 1.66 / 8.64 ± 0.85@@24.72,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/FoBERT'>vesteinn/FoBERT</a>,🔍,-@@100,N/A,124498007.0,50005.0,514.0,✓,✗,(✓),✓,44.79 ± 1.39 / 60.54 ± 1.68@@44.79,80.13 ± 1.97 / 80.82 ± 1.63@@80.13,32.92 ± 8.78 / 63.25 ± 5.20@@32.92,31.87 ± 1.28 / 12.88 ± 1.36@@31.87,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,-@@100,N/A,124498007.0,50005.0,514.0,✓,✗,(✓),✓,44.97 ± 2.18 / 58.64 ± 4.25@@44.97,82.93 ± 0.77 / 83.11 ± 0.74@@82.93,45.59 ± 7.33 / 69.72 ± 6.45@@45.59,37.70 ± 2.88 / 16.70 ± 2.28@@37.70,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/ScandiBERT'>vesteinn/ScandiBERT</a>,🔍,-@@100,N/A,124548012.0,50005.0,514.0,✓,✗,(✓),✓,21.18 ± 13.88 / 36.24 ± 12.60@@21.18,12.68 ± 13.37 / 16.02 ± 15.79@@12.68,0.24 ± 0.47 / 34.62 ± 2.17@@0.24,25.07 ± 1.28 / 7.67 ± 0.95@@25.07,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/XLMR-ENIS'>vesteinn/XLMR-ENIS</a>,🔍,-@@100,N/A,124548012.0,50005.0,514.0,✓,✗,(✓),✗,48.44 ± 0.78 / 63.45 ± 0.98@@48.44,78.34 ± 1.72 / 79.58 ± 1.47@@78.34,17.35 ± 10.88 / 49.50 ± 9.51@@17.35,39.85 ± 3.76 / 17.80 ± 2.83@@39.85,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,-@@100,?,?,?,131072.0,✓,✗,✗,✓,60.43 ± 3.08 / 72.78 ± 2.22@@60.43,42.38 ± 1.95 / 22.62 ± 1.26@@42.38,38.46 ± 3.48 / 62.83 ± 2.14@@38.46,53.06 ± 1.10 / 27.67 ± 1.70@@53.06,-@@-1,45.38 ± 3.11 / 57.81 ± 2.36@@45.38,61.79 ± 3.28 / 80.78 ± 1.84@@61.79,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"xai/grok-3-beta (zero-shot, val)</a>",📝,-@@100,?,?,?,131072.0,✓,✗,✗,✓,58.90 ± 2.97 / 70.03 ± 2.27@@58.90,60.58 ± 2.56 / 26.59 ± 1.25@@60.58,46.68 ± 2.88 / 73.21 ± 1.45@@46.68,49.06 ± 1.05 / 21.25 ± 1.29@@49.06,-@@-1,54.28 ± 3.39 / 65.62 ± 2.66@@54.28,69.48 ± 3.85 / 85.08 ± 1.89@@69.48,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,-@@100,?,?,?,131072.0,✓,✗,✗,✓,47.84 ± 2.99 / 60.03 ± 1.90@@47.84,29.61 ± 2.98 / 19.56 ± 1.81@@29.61,43.36 ± 2.89 / 69.67 ± 1.90@@43.36,50.59 ± 0.97 / 29.52 ± 1.05@@50.59,-@@-1,41.63 ± 4.79 / 51.09 ± 3.98@@41.63,76.18 ± 2.92 / 88.52 ± 1.44@@76.18,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,-@@0,15.7.1.dev0@@150701,15.7.1.dev0@@150701
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-@@100,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,48.00 ± 2.72 / 64.00 ± 2.82@@48.00,51.59 ± 1.68 / 44.93 ± 3.19@@51.59,24.32 ± 2.43 / 57.94 ± 2.52@@24.32,32.10 ± 3.32 / 0.06 ± 0.07@@32.10,-@@-1,34.59 ± 1.15 / 49.90 ± 0.96@@34.59,30.59 ± 2.31 / 66.47 ± 1.12@@30.59,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,-@@100,6.11,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,34.20 ± 1.29 / 36.89 ± 1.46@@34.20,11.45 ± 2.23 / 33.56 ± 1.60@@11.45,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,-@@100,?,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,46.35 ± 1.24 / 63.84 ± 0.81@@46.35,44.70 ± 2.18 / 24.77 ± 2.24@@44.70,13.34 ± 2.55 / 54.76 ± 2.06@@13.34,55.44 ± 1.59 / 26.72 ± 1.51@@55.44,-@@-1,15.86 ± 1.22 / 36.91 ± 0.79@@15.86,3.62 ± 1.52 / 52.40 ± 0.80@@3.62,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,-@@100,?,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,-3.02 ± 2.17 / 29.02 ± 1.70@@-3.02,8.56 ± 1.28 / 8.85 ± 0.93@@8.56,-0.14 ± 2.33 / 47.53 ± 1.15@@-0.14,14.02 ± 1.18 / 0.00 ± 0.00@@14.02,-@@-1,0.00 ± 0.00 / 25.67 ± 1.08@@0.00,0.00 ± 0.00 / 56.44 ± 1.01@@0.00,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-@@100,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,4.95 ± 2.26 / 35.80 ± 1.66@@4.95,14.82 ± 2.28 / 13.92 ± 1.82@@14.82,0.10 ± 1.40 / 49.75 ± 0.85@@0.10,21.39 ± 1.68 / 0.00 ± 0.00@@21.39,-@@-1,-0.49 ± 0.97 / 25.63 ± 1.06@@-0.49,0.00 ± 0.00 / 56.44 ± 1.01@@0.00,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,-@@0,16.13.0.dev0@@161300,16.13.0.dev0@@161300
<a href='https://hf.co/tiiuae/falcon-11B'>tiiuae/falcon-11B</a>,📝,-@@100,?,11102822400.0,65024.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,4.15 ± 1.43 / 26.45 ± 1.06@@4.15,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2</a>,📝,-@@100,?,7241732096.0,32000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.22 ± 1.32 / 24.76 ± 1.34@@0.22,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-@@100,N/A,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,8.03 ± 1.48 / 30.35 ± 1.09@@8.03,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,-@@100,?,1656850432.0,128000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-0.29 ± 1.18 / 25.34 ± 0.81@@-0.29,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,-@@100,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,1.58 ± 1.47 / 25.89 ± 1.18@@1.58,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,-@@100,20.41,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,32.78 ± 1.62 / 48.31 ± 2.23@@32.78,31.62 ± 4.49 / 18.49 ± 1.75@@31.62,0.88 ± 1.25 / 35.24 ± 1.20@@0.88,50.72 ± 1.98 / 26.03 ± 1.13@@50.72,-@@-1,13.34 ± 1.71 / 32.70 ± 1.18@@13.34,1.31 ± 2.68 / 50.16 ± 1.37@@1.31,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-@@100,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,28.78 ± 3.75 / 45.50 ± 3.92@@28.78,19.19 ± 6.34 / 19.33 ± 4.20@@19.19,5.21 ± 2.49 / 45.76 ± 5.13@@5.21,54.42 ± 2.46 / 27.17 ± 3.14@@54.42,-@@-1,16.78 ± 1.34 / 37.25 ± 1.15@@16.78,7.38 ± 3.30 / 56.69 ± 1.21@@7.38,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,-@@100,?,14659507200.0,100352.0,16384.0,✓,✗,(✓),✓,48.68 ± 1.77 / 64.84 ± 1.52@@48.68,54.81 ± 1.72 / 36.00 ± 3.74@@54.81,24.96 ± 1.44 / 61.62 ± 1.10@@24.96,37.61 ± 3.44 / 0.26 ± 0.15@@37.61,-@@-1,29.41 ± 0.98 / 46.30 ± 0.70@@29.41,32.68 ± 2.05 / 66.79 ± 1.07@@32.68,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/mideind/IceBERT-ic3'>mideind/IceBERT-ic3</a>,🔍,-@@100,N/A,162944162.0,50000.0,514.0,✓,✗,(✓),✗,46.55 ± 1.92 / 60.04 ± 2.85@@46.55,79.83 ± 0.64 / 80.20 ± 0.61@@79.83,6.49 ± 4.22 / 48.58 ± 4.72@@6.49,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,-@@100,N/A,124494162.0,50000.0,514.0,✓,✗,(✓),✗,41.99 ± 2.07 / 57.53 ± 2.72@@41.99,74.00 ± 1.22 / 73.64 ± 1.02@@74.00,24.26 ± 6.82 / 56.73 ± 3.86@@24.26,33.88 ± 1.62 / 8.71 ± 0.94@@33.88,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/mideind/IceBERT-large'>mideind/IceBERT-large</a>,🔍,-@@100,N/A,406390946.0,50000.0,514.0,✓,✗,(✓),✗,46.34 ± 1.31 / 62.67 ± 1.43@@46.34,82.72 ± 0.69 / 81.44 ± 0.50@@82.72,26.38 ± 16.21 / 60.22 ± 8.89@@26.38,34.74 ± 1.20 / 7.99 ± 0.73@@34.74,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.2@@150902,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0
<a href='https://hf.co/mideind/IceBERT-xlmr-ic3'>mideind/IceBERT-xlmr-ic3</a>,🔍,-@@100,N/A,278545702.0,250002.0,514.0,✓,✗,(✓),✗,47.38 ± 1.69 / 62.19 ± 1.93@@47.38,79.11 ± 0.95 / 80.10 ± 0.98@@79.11,34.66 ± 8.12 / 61.78 ± 6.42@@34.66,33.59 ± 1.87 / 7.50 ± 0.88@@33.59,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0
<a href='https://hf.co/mideind/IceBERT'>mideind/IceBERT</a>,🔍,-@@100,N/A,162944162.0,50000.0,514.0,✓,✗,(✓),✗,45.29 ± 1.28 / 60.82 ± 1.41@@45.29,80.94 ± 1.03 / 80.92 ± 1.17@@80.94,17.26 ± 11.73 / 46.56 ± 9.00@@17.26,37.56 ± 2.35 / 8.91 ± 1.28@@37.56,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,-@@100,?,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,48.67 ± 2.00 / 64.01 ± 1.73@@48.67,65.89 ± 1.87 / 51.09 ± 4.69@@65.89,22.27 ± 1.40 / 60.07 ± 1.09@@22.27,60.76 ± 2.33 / 34.49 ± 1.48@@60.76,-@@-1,33.30 ± 1.09 / 49.22 ± 0.97@@33.30,22.95 ± 3.52 / 60.61 ± 1.70@@22.95,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,-@@100,N/A,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,42.13 ± 2.39 / 60.27 ± 1.47@@42.13,50.69 ± 2.02 / 42.99 ± 3.61@@50.69,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,60.04 ± 2.12 / 34.26 ± 1.27@@60.04,-@@-1,18.33 ± 1.00 / 37.08 ± 0.82@@18.33,17.52 ± 3.16 / 58.85 ± 1.52@@17.52,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,-@@0,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,-@@100,?,8019808256.0,131072.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,10.18 ± 1.74 / 31.77 ± 1.24@@10.18,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,-@@100,?,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,4.00 ± 1.33 / 27.55 ± 1.26@@4.00,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,-@@100,?,7241732096.0,32000.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,5.36 ± 1.50 / 28.61 ± 1.26@@5.36,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,7.42 ± 1.37 / 30.11 ± 0.81@@7.42,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,-@@100,N/A,7248023552.0,32768.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,6.47 ± 1.82 / 28.99 ± 1.18@@6.47,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/microsoft/phi-2'>microsoft/phi-2</a>,🧠,-@@100,N/A,2779683840.0,51200.0,2048.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.86 ± 1.96 / 26.04 ± 1.29@@0.86,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407</a>,📝,-@@100,?,12247782400.0,131072.0,131072.0,✓,✗,(✓),✓,46.56 ± 1.58 / 61.86 ± 1.83@@46.56,48.92 ± 2.15 / 25.38 ± 2.17@@48.92,10.78 ± 1.73 / 53.40 ± 1.78@@10.78,53.91 ± 1.82 / 28.21 ± 0.92@@53.91,-@@-1,17.99 ± 1.58 / 37.33 ± 1.13@@17.99,12.14 ± 2.61 / 56.65 ± 1.76@@12.14,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,-@@100,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,-7.67 ± 4.24 / 25.95 ± 2.45@@-7.67,6.75 ± 2.93 / 6.25 ± 2.72@@6.75,-8.65 ± 2.90 / 44.48 ± 2.00@@-8.65,55.92 ± 1.00 / 22.59 ± 2.39@@55.92,-@@-1,3.90 ± 1.97 / 26.29 ± 1.49@@3.90,0.00 ± 0.00 / 56.44 ± 1.01@@0.00,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct</a>,📝,-@@100,?,3821079552.0,32064.0,2047.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,4.90 ± 1.56 / 28.08 ± 1.15@@4.90,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,-@@100,10.84,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,34.57 ± 0.32 / 36.55 ± 0.47@@34.57,8.77 ± 1.28 / 31.17 ± 1.06@@8.77,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,-@@0
