<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.75@@2.75,32233522176.0,100278.0,65536.0,✓,✗,16.72 ± 1.85 / 33.28 ± 1.20@@16.72,60.04 ± 1.28 / 60.04 ± 1.28@@60.04,24.34 ± 2.81 / 53.56 ± 4.59@@24.34,73.22 ± 0.71 / 53.15 ± 1.76@@73.22,32.02 ± 1.35 / 48.72 ± 1.02@@32.02,7.90 ± 1.84 / 53.33 ± 1.00@@7.90,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.76@@2.76,3191396096.0,100352.0,131072.0,✓,✗,49.95 ± 1.13 / 60.05 ± 1.63@@49.95,52.26 ± 1.43 / 52.26 ± 1.43@@52.26,19.45 ± 1.64 / 52.66 ± 3.84@@19.45,61.98 ± 1.48 / 42.11 ± 1.51@@61.98,28.68 ± 1.14 / 46.28 ± 0.89@@28.68,1.32 ± 2.11 / 50.08 ± 1.00@@1.32,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.77@@2.77,4300079472.0,262144.0,8192.0,✓,✗,65.92 ± 0.94 / 75.54 ± 1.35@@65.92,42.07 ± 2.54 / 42.07 ± 2.54@@42.07,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,67.29 ± 1.89 / 49.15 ± 2.19@@67.29,31.56 ± 1.03 / 48.45 ± 0.71@@31.56,8.12 ± 1.92 / 53.80 ± 1.07@@8.12,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.80@@2.80,9152319488.0,128000.0,4096.0,✓,✗,25.39 ± 3.95 / 34.85 ± 4.47@@25.39,47.87 ± 1.75 / 47.87 ± 1.75@@47.87,25.33 ± 4.76 / 55.81 ± 5.42@@25.33,69.51 ± 1.99 / 53.09 ± 1.60@@69.51,29.66 ± 1.08 / 46.93 ± 0.82@@29.66,13.36 ± 1.78 / 54.19 ± 0.75@@13.36,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.80@@2.80,4757260288.0,32000.0,32768.0,✓,✗,51.47 ± 1.28 / 66.66 ± 1.06@@51.47,50.11 ± 1.51 / 50.11 ± 1.51@@50.11,9.57 ± 2.44 / 36.26 ± 1.44@@9.57,57.75 ± 1.46 / 37.35 ± 2.24@@57.75,25.19 ± 0.87 / 43.86 ± 0.66@@25.19,14.22 ± 1.53 / 56.89 ± 0.80@@14.22,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.83@@2.83,10731524096.0,32000.0,4096.0,✓,✗,23.34 ± 2.19 / 39.23 ± 2.04@@23.34,56.02 ± 2.04 / 56.02 ± 2.04@@56.02,0.74 ± 0.98 / 33.47 ± 0.34@@0.74,73.95 ± 1.18 / 56.16 ± 1.18@@73.95,26.72 ± 0.85 / 40.85 ± 0.81@@26.72,22.92 ± 3.54 / 57.30 ± 2.30@@22.92,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.85@@2.85,6939037248.0,100352.0,131072.0,✓,✗,53.62 ± 1.69 / 63.19 ± 2.31@@53.62,49.39 ± 1.49 / 49.39 ± 1.49@@49.39,24.47 ± 2.38 / 58.41 ± 2.80@@24.47,35.70 ± 4.62 / 13.18 ± 4.45@@35.70,33.09 ± 1.52 / 49.58 ± 1.23@@33.09,1.09 ± 2.40 / 50.63 ± 0.91@@1.09,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.85@@2.85,4300079472.0,262144.0,8192.0,✓,✗,54.28 ± 1.85 / 66.29 ± 2.45@@54.28,49.66 ± 1.08 / 49.66 ± 1.08@@49.66,34.61 ± 1.75 / 65.05 ± 1.28@@34.61,21.42 ± 3.05 / 2.92 ± 2.47@@21.42,29.83 ± 0.85 / 47.13 ± 0.64@@29.83,9.48 ± 1.60 / 54.72 ± 0.82@@9.48,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,2.91@@2.91,7241748480.0,32002.0,32768.0,✗,✗,50.36 ± 1.02 / 65.91 ± 1.08@@50.36,49.95 ± 1.67 / 49.95 ± 1.67@@49.95,9.97 ± 2.40 / 48.77 ± 3.54@@9.97,64.47 ± 0.89 / 40.55 ± 1.30@@64.47,11.36 ± 1.31 / 33.26 ± 1.10@@11.36,2.96 ± 2.42 / 50.91 ± 1.33@@2.96,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,2.93@@2.93,1720574976.0,151936.0,40960.0,✗,✗,43.45 ± 0.79 / 47.60 ± 0.60@@43.45,38.25 ± 1.87 / 38.25 ± 1.87@@38.25,25.57 ± 1.53 / 61.73 ± 1.25@@25.57,64.22 ± 1.51 / 44.13 ± 1.09@@64.22,21.55 ± 1.13 / 40.34 ± 0.93@@21.55,3.27 ± 3.04 / 50.10 ± 1.14@@3.27,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.97@@2.97,2031739904.0,151936.0,40960.0,✓,✗,42.39 ± 1.25 / 46.88 ± 0.60@@42.39,38.28 ± 1.53 / 38.28 ± 1.53@@38.28,24.64 ± 1.11 / 60.36 ± 1.56@@24.64,57.89 ± 1.33 / 39.68 ± 1.05@@57.89,21.33 ± 1.56 / 40.67 ± 1.22@@21.33,4.29 ± 3.20 / 51.20 ± 1.12@@4.29,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,3.05@@3.05,8053338176.0,131072.0,65536.0,✗,✗,55.72 ± 1.80 / 61.21 ± 3.06@@55.72,44.77 ± 1.75 / 44.77 ± 1.75@@44.77,34.88 ± 2.69 / 65.95 ± 2.65@@34.88,12.81 ± 0.99 / 0.06 ± 0.06@@12.81,24.36 ± 3.24 / 41.79 ± 2.34@@24.36,-0.87 ± 0.90 / 49.05 ± 0.76@@-0.87,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.09@@3.09,7298011136.0,100278.0,65536.0,✓,✗,41.64 ± 1.49 / 45.56 ± 1.12@@41.64,49.57 ± 1.62 / 49.57 ± 1.62@@49.57,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,62.11 ± 1.19 / 44.58 ± 1.14@@62.11,15.55 ± 1.36 / 36.57 ± 1.03@@15.55,1.37 ± 1.36 / 49.90 ± 0.59@@1.37,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.10@@3.10,1543714304.0,151936.0,32768.0,✓,✗,42.19 ± 1.23 / 57.74 ± 1.34@@42.19,35.30 ± 1.15 / 35.30 ± 1.15@@35.30,11.03 ± 3.47 / 48.03 ± 5.52@@11.03,60.47 ± 0.97 / 40.62 ± 1.48@@60.47,18.08 ± 0.93 / 38.50 ± 0.66@@18.08,3.54 ± 1.85 / 51.27 ± 0.94@@3.54,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,3.12@@3.12,3212749824.0,128256.0,131072.0,✓,✗,45.50 ± 0.97 / 52.32 ± 1.31@@45.50,40.65 ± 1.07 / 40.65 ± 1.07@@40.65,13.02 ± 1.34 / 50.17 ± 1.89@@13.02,51.35 ± 1.21 / 32.81 ± 1.30@@51.35,14.98 ± 0.96 / 36.04 ± 0.75@@14.98,4.36 ± 2.38 / 51.35 ± 1.02@@4.36,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.14@@3.14,3075098624.0,128256.0,65536.0,✓,✗,43.79 ± 1.59 / 46.76 ± 1.07@@43.79,46.56 ± 1.66 / 46.56 ± 1.66@@46.56,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,59.60 ± 1.24 / 39.50 ± 1.21@@59.60,14.55 ± 1.12 / 35.91 ± 0.85@@14.55,-0.81 ± 1.84 / 49.46 ± 0.96@@-0.81,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,3.18@@3.18,?,?,1047576.0,✓,✗,45.08 ± 2.46 / 58.04 ± 1.52@@45.08,33.83 ± 1.49 / 33.83 ± 1.49@@33.83,0.00 ± 0.00 / 32.87 ± 0.96@@0.00,51.61 ± 0.83 / 23.32 ± 1.26@@51.61,45.59 ± 1.90 / 58.83 ± 1.54@@45.59,-9.60 ± 4.05 / 53.36 ± 2.46@@-9.60,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.19@@3.19,7298011136.0,100278.0,65536.0,✗,✗,36.06 ± 1.23 / 55.94 ± 1.27@@36.06,42.14 ± 1.39 / 42.14 ± 1.39@@42.14,13.90 ± 2.20 / 54.51 ± 2.48@@13.90,50.85 ± 0.66 / 32.39 ± 0.94@@50.85,9.05 ± 1.38 / 31.29 ± 1.04@@9.05,3.48 ± 2.42 / 51.81 ± 1.27@@3.48,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.21@@3.21,7298011136.0,100278.0,65536.0,✗,✗,36.28 ± 0.86 / 56.34 ± 0.99@@36.28,42.18 ± 1.38 / 42.18 ± 1.38@@42.18,13.70 ± 2.48 / 54.34 ± 2.61@@13.70,48.65 ± 0.72 / 27.86 ± 1.23@@48.65,8.71 ± 0.92 / 31.02 ± 0.71@@8.71,4.19 ± 2.61 / 52.24 ± 1.32@@4.19,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.22@@3.22,7768117248.0,256000.0,8192.0,✓,✗,58.48 ± 1.33 / 70.42 ± 1.31@@58.48,26.04 ± 3.50 / 26.04 ± 3.50@@26.04,16.98 ± 2.71 / 58.39 ± 1.35@@16.98,16.82 ± 0.69 / 0.08 ± 0.08@@16.82,18.44 ± 0.91 / 38.30 ± 0.73@@18.44,12.95 ± 2.03 / 55.54 ± 0.94@@12.95,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.23@@3.23,7241732096.0,32000.0,32768.0,✓,✗,29.90 ± 4.06 / 45.45 ± 4.91@@29.90,46.18 ± 2.61 / 46.18 ± 2.61@@46.18,-1.28 ± 2.71 / 33.95 ± 0.67@@-1.28,66.36 ± 1.45 / 47.07 ± 2.14@@66.36,11.39 ± 0.91 / 28.52 ± 0.51@@11.39,-0.14 ± 2.24 / 49.21 ± 0.74@@-0.14,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.27@@3.27,7768117248.0,256000.0,8192.0,✓,✗,38.49 ± 3.76 / 52.69 ± 3.84@@38.49,22.40 ± 3.17 / 22.40 ± 3.17@@22.40,25.45 ± 3.65 / 61.67 ± 2.07@@25.45,54.30 ± 1.07 / 37.56 ± 0.89@@54.30,10.13 ± 1.47 / 29.58 ± 0.67@@10.13,1.61 ± 1.98 / 49.49 ± 0.89@@1.61,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.29@@3.29,7298011136.0,100278.0,65536.0,✗,✗,30.68 ± 1.62 / 49.39 ± 1.86@@30.68,42.71 ± 1.67 / 42.71 ± 1.67@@42.71,10.01 ± 3.43 / 53.15 ± 2.42@@10.01,49.16 ± 0.99 / 29.47 ± 1.37@@49.16,6.38 ± 1.49 / 29.27 ± 1.09@@6.38,4.30 ± 3.98 / 52.29 ± 1.99@@4.30,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.30@@3.30,7799574528.0,100096.0,4096.0,✓,✗,44.32 ± 1.14 / 52.30 ± 2.15@@44.32,41.19 ± 4.91 / 41.19 ± 4.91@@41.19,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,51.52 ± 2.00 / 36.51 ± 2.15@@51.52,1.61 ± 0.93 / 25.03 ± 0.50@@1.61,0.00 ± 0.00 / 49.12 ± 0.75@@0.00,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.38@@3.38,2569272320.0,65536.0,128000.0,✗,✗,27.40 ± 1.00 / 50.57 ± 0.98@@27.40,38.06 ± 1.08 / 38.06 ± 1.08@@38.06,7.33 ± 1.45 / 43.20 ± 2.92@@7.33,43.05 ± 0.88 / 27.08 ± 0.74@@43.05,17.01 ± 0.66 / 37.31 ± 0.53@@17.01,1.86 ± 1.52 / 51.19 ± 0.82@@1.86,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.38@@3.38,3606752256.0,128256.0,131072.0,✓,✗,45.19 ± 0.95 / 48.74 ± 1.39@@45.19,42.74 ± 1.37 / 42.74 ± 1.37@@42.74,12.77 ± 3.86 / 45.31 ± 4.73@@12.77,11.82 ± 0.77 / 0.02 ± 0.04@@11.82,15.33 ± 1.77 / 36.02 ± 1.37@@15.33,0.70 ± 2.19 / 49.42 ± 0.94@@0.70,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.39@@3.39,1596507648.0,32000.0,8192.0,✓,✗,22.69 ± 2.28 / 36.63 ± 2.56@@22.69,39.48 ± 1.63 / 39.48 ± 1.63@@39.48,3.50 ± 1.87 / 39.96 ± 3.61@@3.50,50.52 ± 1.50 / 33.97 ± 1.40@@50.52,10.72 ± 1.07 / 33.14 ± 0.78@@10.72,1.91 ± 3.00 / 50.99 ± 1.50@@1.91,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,3.41@@3.41,4619184640.0,128004.0,65536.0,✓,✗,38.36 ± 1.25 / 44.32 ± 0.66@@38.36,37.77 ± 1.92 / 37.77 ± 1.92@@37.77,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,35.81 ± 2.38 / 23.43 ± 1.94@@35.81,15.25 ± 0.91 / 36.08 ± 0.68@@15.25,1.45 ± 1.88 / 49.59 ± 0.94@@1.45,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.42@@3.42,26123974400.0,200192.0,131072.0,✓,✗,34.63 ± 4.27 / 49.09 ± 4.57@@34.63,52.82 ± 0.94 / 52.82 ± 0.94@@52.82,1.09 ± 2.12 / 40.09 ± 2.82@@1.09,17.96 ± 2.44 / 4.43 ± 1.45@@17.96,8.57 ± 1.65 / 30.49 ± 1.06@@8.57,-0.46 ± 2.34 / 49.01 ± 0.89@@-0.46,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.44@@3.44,6120003328.0,200192.0,131072.0,✓,✗,17.78 ± 5.34 / 34.30 ± 3.11@@17.78,44.52 ± 1.73 / 44.52 ± 1.73@@44.52,-2.13 ± 2.04 / 44.88 ± 2.53@@-2.13,53.84 ± 1.57 / 35.65 ± 1.59@@53.84,10.07 ± 2.62 / 31.80 ± 1.91@@10.07,1.50 ± 2.78 / 51.07 ± 0.67@@1.50,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.44@@3.44,4619189760.0,128005.0,65536.0,✓,✗,37.31 ± 1.54 / 56.84 ± 1.04@@37.31,39.93 ± 1.36 / 39.93 ± 1.36@@39.93,7.43 ± 1.60 / 35.08 ± 0.72@@7.43,17.86 ± 0.63 / 0.12 ± 0.06@@17.86,12.64 ± 1.10 / 33.44 ± 0.82@@12.64,2.36 ± 2.25 / 50.69 ± 1.16@@2.36,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.48@@3.48,999885952.0,262144.0,32768.0,✓,✗,49.08 ± 2.18 / 56.82 ± 4.39@@49.08,25.14 ± 1.65 / 25.14 ± 1.65@@25.14,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,40.63 ± 1.76 / 21.30 ± 2.74@@40.63,1.75 ± 1.30 / 26.57 ± 0.94@@1.75,0.63 ± 2.00 / 49.25 ± 0.70@@0.63,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.52@@3.52,751632384.0,151936.0,40960.0,✓,✗,30.17 ± 1.00 / 40.54 ± 0.76@@30.17,38.55 ± 1.17 / 38.55 ± 1.17@@38.55,2.02 ± 1.76 / 39.58 ± 4.58@@2.02,37.38 ± 1.59 / 21.96 ± 1.36@@37.38,6.09 ± 1.07 / 28.91 ± 0.76@@6.09,-2.05 ± 2.16 / 48.78 ± 1.01@@-2.05,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.61@@3.61,1235814400.0,128256.0,131072.0,✓,✗,35.58 ± 1.83 / 51.20 ± 2.23@@35.58,25.47 ± 2.63 / 25.47 ± 2.63@@25.47,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,39.71 ± 0.99 / 22.40 ± 1.51@@39.71,0.84 ± 0.96 / 25.75 ± 0.68@@0.84,1.06 ± 3.02 / 50.11 ± 1.56@@1.06,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.62@@3.62,999885952.0,262144.0,32768.0,✓,✗,37.82 ± 2.78 / 54.30 ± 3.32@@37.82,33.42 ± 1.40 / 33.42 ± 1.40@@33.42,6.16 ± 3.10 / 44.76 ± 5.33@@6.16,14.02 ± 0.63 / 0.02 ± 0.04@@14.02,2.54 ± 1.13 / 26.75 ± 0.78@@2.54,2.86 ± 3.14 / 50.41 ± 1.37@@2.86,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.65@@3.65,6120003328.0,200192.0,131072.0,✓,✗,24.58 ± 2.51 / 36.40 ± 1.76@@24.58,40.35 ± 2.03 / 40.35 ± 2.03@@40.35,0.26 ± 2.28 / 40.70 ± 4.14@@0.26,18.87 ± 1.40 / 2.58 ± 0.79@@18.87,9.06 ± 1.58 / 31.72 ± 1.04@@9.06,0.95 ± 2.54 / 49.37 ± 0.89@@0.95,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.66@@3.66,2424375168.0,99000.0,28723.0,✗,✗,24.91 ± 2.63 / 36.34 ± 3.20@@24.91,33.50 ± 1.08 / 33.50 ± 1.08@@33.50,1.15 ± 1.59 / 35.79 ± 2.58@@1.15,23.87 ± 1.46 / 8.71 ± 1.63@@23.87,6.65 ± 1.25 / 29.62 ± 0.96@@6.65,0.11 ± 2.25 / 49.40 ± 0.94@@0.11,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/lapa-llm/lapa-12b-pt'>lapa-llm/lapa-12b-pt</a>,📝,3.84@@3.84,12187325040.0,262144.0,8192.0,✓,✗,-0.17 ± 1.84 / 17.69 ± 0.83@@-0.17,50.64 ± 1.62 / 50.64 ± 1.62@@50.64,-0.29 ± 2.15 / 41.42 ± 3.30@@-0.29,1.84 ± 0.49 / 0.00 ± 0.00@@1.84,7.94 ± 1.89 / 29.50 ± 1.07@@7.94,2.80 ± 2.83 / 49.46 ± 0.67@@2.80,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
