<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,-@@100,1.4,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,63.19 ± 1.12 / 75.08 ± 0.82@@63.19,70.10 ± 1.12 / 53.64 ± 2.49@@70.10,71.25 ± 1.51 / 56.21 ± 2.34@@71.25,60.49 ± 1.58 / 79.17 ± 1.26@@60.49,44.53 ± 1.39 / 70.27 ± 1.74@@44.53,27.99 ± 2.32 / 0.14 ± 0.24@@27.99,-@@-1,39.90 ± 0.90 / 55.02 ± 0.66@@39.90,26.29 ± 0.98 / 44.42 ± 0.69@@26.29,76.04 ± 1.05 / 80.62 ± 0.92@@76.04,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,-@@0,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,-@@100,1.17,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,44.64 ± 1.12 / 62.57 ± 0.90@@44.64,60.08 ± 1.85 / 36.76 ± 1.98@@60.08,57.86 ± 1.32 / 39.03 ± 2.52@@57.86,17.43 ± 2.49 / 43.66 ± 2.66@@17.43,9.59 ± 1.80 / 39.86 ± 2.41@@9.59,56.44 ± 1.84 / 30.59 ± 1.10@@56.44,-@@-1,20.81 ± 1.35 / 41.88 ± 0.96@@20.81,3.83 ± 0.81 / 27.98 ± 0.61@@3.83,53.58 ± 1.42 / 62.80 ± 1.13@@53.58,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual</a>,📝,-@@100,?,5465415680.0,65024.0,8192.0,✓,✓,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.10 ± 1.17 / 26.90 ± 0.99@@0.10,-0.36 ± 1.32 / 26.00 ± 0.70@@-0.36,-1.19 ± 1.57 / 19.08 ± 1.02@@-1.19,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b</a>,🧠,-@@100,N/A,1644515328.0,100352.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,4.40 ± 0.86 / 29.88 ± 1.24@@4.40,2.11 ± 1.04 / 26.48 ± 0.76@@2.11,3.66 ± 1.19 / 22.27 ± 0.80@@3.66,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b</a>,📝,-@@100,?,2795443200.0,50304.0,2048.0,✗,✗,(✓),✗,-5.50 ± 3.38 / 12.83 ± 2.10@@-5.50,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,-@@100,N/A,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,36.77 ± 1.49 / 46.14 ± 2.40@@36.77,56.95 ± 2.17 / 50.86 ± 2.12@@56.95,57.40 ± 1.45 / 51.55 ± 2.48@@57.40,34.36 ± 5.81 / 54.92 ± 5.45@@34.36,26.05 ± 6.91 / 48.84 ± 5.74@@26.05,71.51 ± 4.78 / 46.64 ± 5.81@@71.51,-@@-1,46.55 ± 1.11 / 59.88 ± 0.76@@46.55,23.27 ± 0.85 / 41.18 ± 0.89@@23.27,68.76 ± 1.97 / 74.32 ± 1.79@@68.76,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-@@100,1.53,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,31.43 ± 1.14 / 49.32 ± 0.81@@31.43,6.22 ± 0.86 / 29.61 ± 0.65@@6.22,64.82 ± 1.11 / 71.81 ± 0.88@@64.82,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,27.91 ± 1.21 / 46.56 ± 0.75@@27.91,-@@-1,56.72 ± 1.44 / 65.09 ± 1.26@@56.72,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,-@@100,N/A,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,42.37 ± 4.65 / 59.12 ± 5.41@@42.37,37.13 ± 3.83 / 32.96 ± 3.11@@37.13,38.84 ± 2.85 / 33.61 ± 2.44@@38.84,1.23 ± 1.01 / 33.45 ± 0.21@@1.23,0.51 ± 0.66 / 33.75 ± 0.31@@0.51,69.55 ± 4.12 / 44.64 ± 5.27@@69.55,-@@-1,36.14 ± 1.52 / 51.76 ± 1.03@@36.14,11.65 ± 1.25 / 33.00 ± 1.19@@11.65,62.67 ± 2.50 / 68.44 ± 2.47@@62.67,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,-@@100,?,2061162016.0,128000.0,?,✓,✗,(✓),✓,23.60 ± 3.51 / 44.55 ± 3.97@@23.60,32.47 ± 3.70 / 31.92 ± 3.82@@32.47,29.72 ± 4.96 / 28.26 ± 4.63@@29.72,0.43 ± 1.81 / 45.78 ± 3.53@@0.43,-0.05 ± 1.55 / 45.06 ± 2.41@@-0.05,23.05 ± 1.16 / 0.00 ± 0.00@@23.05,-@@-1,3.76 ± 1.51 / 29.94 ± 0.98@@3.76,0.02 ± 0.70 / 24.59 ± 0.47@@0.02,-0.81 ± 1.28 / 19.32 ± 0.57@@-0.81,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.10.1.dev0@@151001,15.9.2@@150902
<a href='https://hf.co/vesteinn/DanskBERT'>vesteinn/DanskBERT</a>,🔍,-@@100,N/A,124548012.0,50005.0,514.0,✓,✗,(✓),✓,31.14 ± 9.92 / 44.60 ± 7.79@@31.14,82.52 ± 0.95 / 83.97 ± 0.60@@82.52,75.66 ± 0.98 / 77.58 ± 0.86@@75.66,29.70 ± 15.70 / 59.88 ± 10.08@@29.70,7.20 ± 7.41 / 43.49 ± 7.60@@7.20,19.52 ± 4.04 / 12.11 ± 2.52@@19.52,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/FoBERT'>vesteinn/FoBERT</a>,🔍,-@@100,N/A,124498007.0,50005.0,514.0,✓,✗,(✓),✓,47.10 ± 4.94 / 56.20 ± 6.73@@47.10,89.26 ± 0.78 / 89.76 ± 0.63@@89.26,83.77 ± 0.72 / 85.45 ± 0.60@@83.77,57.84 ± 8.23 / 75.51 ± 6.95@@57.84,48.57 ± 5.36 / 70.65 ± 3.81@@48.57,48.51 ± 2.51 / 35.13 ± 2.43@@48.51,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,-@@100,N/A,124498007.0,50005.0,514.0,✓,✗,(✓),✓,48.73 ± 3.08 / 56.98 ± 5.49@@48.73,90.02 ± 0.83 / 90.37 ± 0.75@@90.02,85.33 ± 1.35 / 86.67 ± 0.85@@85.33,66.42 ± 1.94 / 82.23 ± 1.34@@66.42,55.11 ± 7.40 / 75.65 ± 5.30@@55.11,53.92 ± 1.99 / 39.35 ± 1.73@@53.92,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/vesteinn/XLMR-ENIS'>vesteinn/XLMR-ENIS</a>,🔍,-@@100,N/A,124548012.0,50005.0,514.0,✓,✗,(✓),✗,11.89 ± 7.98 / 31.21 ± 6.63@@11.89,76.75 ± 1.43 / 78.73 ± 1.07@@76.75,72.32 ± 1.02 / 75.35 ± 0.83@@72.32,1.81 ± 2.97 / 39.15 ± 5.74@@1.81,2.99 ± 3.84 / 38.00 ± 5.07@@2.99,18.71 ± 2.76 / 10.50 ± 1.74@@18.71,-@@-1,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0,-@@0
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,-@@100,?,?,?,131072.0,✓,✗,✗,✓,41.46 ± 2.01 / 41.24 ± 1.57@@41.46,69.26 ± 1.90 / 60.05 ± 2.21@@69.26,67.05 ± 3.68 / 56.45 ± 3.73@@67.05,54.60 ± 2.76 / 74.00 ± 1.56@@54.60,24.92 ± 3.51 / 51.17 ± 1.74@@24.92,72.65 ± 1.02 / 39.39 ± 1.28@@72.65,-@@-1,59.85 ± 2.73 / 70.39 ± 1.92@@59.85,48.96 ± 2.75 / 61.25 ± 1.97@@48.96,85.65 ± 3.33 / 88.44 ± 2.71@@85.65,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.10.1.dev0@@151001,15.5.0.dev0@@150500
"xai/grok-3-beta (zero-shot, val)</a>",📝,-@@100,?,?,?,131072.0,✓,✗,✗,✓,51.70 ± 2.47 / 63.20 ± 1.92@@51.70,69.55 ± 2.61 / 50.16 ± 3.17@@69.55,66.15 ± 3.19 / 44.50 ± 2.97@@66.15,71.18 ± 3.03 / 85.38 ± 1.54@@71.18,51.86 ± 2.41 / 75.63 ± 1.22@@51.86,68.43 ± 0.66 / 36.16 ± 1.12@@68.43,-@@-1,71.26 ± 1.68 / 78.83 ± 1.21@@71.26,-@@-1,83.99 ± 3.68 / 87.03 ± 3.00@@83.99,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,-@@100,?,?,?,131072.0,✓,✗,✗,✓,57.46 ± 2.54 / 68.84 ± 2.03@@57.46,55.23 ± 2.88 / 45.57 ± 2.78@@55.23,55.28 ± 3.58 / 45.92 ± 3.17@@55.28,66.88 ± 2.81 / 82.79 ± 1.40@@66.88,35.23 ± 3.68 / 63.60 ± 1.99@@35.23,71.45 ± 0.71 / 44.25 ± 1.34@@71.45,-@@-1,65.89 ± 3.05 / 75.08 ± 2.22@@65.89,-@@-1,90.07 ± 2.44 / 91.88 ± 2.03@@90.07,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2@@150702,-@@0,15.7.2@@150702,-@@0,15.7.2@@150702
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-@@100,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,49.83 ± 3.05 / 61.60 ± 3.86@@49.83,71.89 ± 1.90 / 67.01 ± 2.68@@71.89,71.20 ± 1.28 / 66.71 ± 1.75@@71.20,62.43 ± 0.57 / 79.21 ± 0.58@@62.43,50.85 ± 3.86 / 72.72 ± 3.42@@50.85,35.22 ± 2.92 / 0.00 ± 0.00@@35.22,-@@-1,53.07 ± 1.35 / 64.18 ± 1.08@@53.07,33.77 ± 1.15 / 49.71 ± 0.90@@33.77,76.69 ± 0.97 / 81.15 ± 0.78@@76.69,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/vesteinn/ScandiBERT'>vesteinn/ScandiBERT</a>,🔍,-@@100,N/A,124548012.0,50005.0,514.0,✓,✗,(✓),✓,13.34 ± 9.43 / 30.10 ± 5.98@@13.34,29.01 ± 19.57 / 30.54 ± 20.56@@29.01,45.61 ± 22.81 / 47.74 ± 23.98@@45.61,10.41 ± 13.68 / 41.18 ± 10.15@@10.41,-0.11 ± 0.21 / 34.43 ± 2.10@@-0.11,5.42 ± 3.76 / 1.69 ± 1.14@@5.42,-@@-1,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,-@@100,5.15,9152319488.0,128000.0,4096.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,30.37 ± 0.16 / 34.54 ± 0.18@@30.37,31.29 ± 1.44 / 48.89 ± 1.11@@31.29,3.55 ± 1.16 / 27.08 ± 0.71@@3.55,60.17 ± 1.57 / 67.59 ± 1.41@@60.17,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,-@@100,?,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,50.13 ± 1.61 / 66.88 ± 0.96@@50.13,50.95 ± 1.94 / 29.29 ± 1.11@@50.95,53.47 ± 0.97 / 31.06 ± 1.86@@53.47,42.63 ± 1.78 / 69.44 ± 1.53@@42.63,29.17 ± 2.64 / 61.37 ± 2.45@@29.17,68.40 ± 1.78 / 42.03 ± 2.30@@68.40,-@@-1,34.72 ± 1.01 / 50.74 ± 0.89@@34.72,6.01 ± 0.82 / 29.51 ± 0.60@@6.01,66.23 ± 1.65 / 72.76 ± 1.37@@66.23,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,-@@100,?,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,24.94 ± 1.25 / 47.26 ± 0.83@@24.94,32.71 ± 1.61 / 31.25 ± 1.51@@32.71,29.22 ± 1.27 / 28.28 ± 1.18@@29.22,4.52 ± 1.34 / 42.97 ± 1.01@@4.52,1.78 ± 1.67 / 45.31 ± 1.86@@1.78,17.99 ± 1.03 / 0.00 ± 0.00@@17.99,-@@-1,0.00 ± 0.00 / 24.16 ± 0.48@@0.00,0.00 ± 0.00 / 25.95 ± 0.67@@0.00,0.00 ± 0.00 / 19.81 ± 0.56@@0.00,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-@@100,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,33.39 ± 1.32 / 54.48 ± 0.82@@33.39,44.57 ± 2.57 / 36.98 ± 2.93@@44.57,39.87 ± 2.56 / 33.79 ± 2.65@@39.87,11.69 ± 2.13 / 55.12 ± 1.10@@11.69,6.05 ± 1.06 / 50.77 ± 0.52@@6.05,33.53 ± 0.71 / 0.00 ± 0.00@@33.53,-@@-1,0.00 ± 0.00 / 24.16 ± 0.48@@0.00,0.00 ± 0.00 / 25.95 ± 0.67@@0.00,0.00 ± 0.00 / 19.81 ± 0.56@@0.00,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300,-@@0,16.13.0.dev0@@161300,16.13.0.dev0@@161300,16.13.0.dev0@@161300
<a href='https://hf.co/tiiuae/falcon-11B'>tiiuae/falcon-11B</a>,📝,-@@100,?,11102822400.0,65024.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,22.89 ± 1.12 / 42.31 ± 0.92@@22.89,0.79 ± 1.04 / 25.17 ± 0.76@@0.79,41.18 ± 1.71 / 52.23 ± 1.33@@41.18,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/timpal0l/Llama-3-8B-flashback-v1'>timpal0l/Llama-3-8B-flashback-v1</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,26.30 ± 1.49 / 44.24 ± 1.22@@26.30,3.67 ± 0.76 / 28.00 ± 0.53@@3.67,40.52 ± 1.97 / 51.69 ± 1.79@@40.52,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-@@100,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,54.31 ± 1.62 / 69.36 ± 1.39@@54.31,59.40 ± 2.05 / 52.64 ± 1.76@@59.40,59.13 ± 1.10 / 49.72 ± 2.91@@59.13,40.68 ± 3.24 / 63.08 ± 3.34@@40.68,25.97 ± 4.84 / 52.72 ± 6.00@@25.97,73.92 ± 4.17 / 50.79 ± 6.06@@73.92,-@@-1,39.34 ± 1.13 / 54.97 ± 0.82@@39.34,13.31 ± 1.32 / 35.02 ± 0.99@@13.31,70.04 ± 0.96 / 75.97 ± 0.79@@70.04,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2</a>,📝,-@@100,?,7241732096.0,32000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,2.17 ± 1.65 / 28.91 ± 2.52@@2.17,-0.03 ± 0.87 / 25.14 ± 0.46@@-0.03,1.33 ± 2.00 / 20.43 ± 1.56@@1.33,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,-@@100,?,1656850432.0,128000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,1.60 ± 1.02 / 28.50 ± 1.27@@1.60,0.63 ± 0.96 / 25.83 ± 0.65@@0.63,0.30 ± 2.20 / 20.01 ± 1.48@@0.30,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,-@@100,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.40 ± 0.69 / 24.27 ± 0.47@@0.40,0.01 ± 0.01 / 25.95 ± 0.67@@0.01,0.20 ± 0.39 / 19.82 ± 0.57@@0.20,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,-@@100,4.05,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,50.89 ± 0.76 / 66.98 ± 0.62@@50.89,57.98 ± 1.60 / 39.81 ± 1.92@@57.98,59.55 ± 1.41 / 40.20 ± 2.60@@59.55,31.81 ± 4.69 / 53.12 ± 4.35@@31.81,23.83 ± 6.15 / 50.66 ± 6.63@@23.83,66.40 ± 1.57 / 37.96 ± 1.52@@66.40,-@@-1,35.30 ± 0.90 / 51.32 ± 0.64@@35.30,13.44 ± 0.73 / 34.80 ± 0.52@@13.44,71.68 ± 1.10 / 77.16 ± 0.94@@71.68,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-@@100,N/A,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,34.18 ± 1.59 / 49.99 ± 1.23@@34.18,2.44 ± 0.38 / 27.06 ± 0.32@@2.44,57.51 ± 1.90 / 65.70 ± 1.52@@57.51,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mhenrichsen/danskgpt-tiny-chat'>mhenrichsen/danskgpt-tiny-chat</a>,📝,-@@100,?,1100056576.0,32002.0,2048.0,✓,✗,(✓),✗,27.49 ± 3.13 / 48.00 ± 3.89@@27.49,28.74 ± 4.18 / 28.29 ± 4.37@@28.74,30.34 ± 6.08 / 30.02 ± 6.42@@30.34,-2.17 ± 1.06 / 33.52 ± 0.37@@-2.17,0.26 ± 1.08 / 34.12 ± 0.45@@0.26,-@@-1,-@@-1,4.38 ± 2.23 / 24.65 ± 0.78@@4.38,0.48 ± 0.97 / 25.58 ± 0.74@@0.48,0.28 ± 1.27 / 19.95 ± 1.17@@0.28,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct</a>,📝,-@@100,?,3821079552.0,32064.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,13.50 ± 0.97 / 35.50 ± 0.61@@13.50,-2.96 ± 0.43 / 23.26 ± 0.34@@-2.96,22.65 ± 1.42 / 37.04 ± 1.23@@22.65,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct</a>,📝,-@@100,?,3821079552.0,32064.0,2047.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.97 ± 1.24 / 37.66 ± 0.73@@15.97,-1.95 ± 0.61 / 23.83 ± 0.43@@-1.95,25.61 ± 1.88 / 39.92 ± 1.57@@25.61,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
